x1,x2,x3,label
0.2505,0.0863,0.7374,0
0.711,0.7735,0.7202,1
0.3231,0.6971,0.4175,1
0.3535,0.1346,0.6253,0
0.5405,0.136,0.4871,0
0.0611,0.8281,0.0017,0
0.842,0.0267,0.0222,0
0.1238,0.0925,0.4379,0
0.064,0.9321,0.7706,1
0.0752,0.8868,0.5966,1
0.21,0.4262,0.0781,0
0.0395,0.8223,0.1172,0
0.742,0.2184,0.3022,1
0.1197,0.262,0.3321,0
0.6879,0.8811,0.5722,1
0.5571,0.8693,0.37,1
0.0264,0.7739,0.5405,0
0.5367,0.5623,0.1087,1
0.9145,0.7216,0.0465,1
0.5145,0.7908,0.5972,1
0.5783,0.8376,0.793,1
0.1873,0.709,0.6239,0
0.7684,0.0655,0.7043,0
0.3497,0.763,0.4295,1
0.5072,0.6545,0.3746,1
0.8066,0.8972,0.5587,1
0.2278,0.3115,0.6411,0
0.8398,0.0239,0.1983,0
0.7834,0.771,0.9131,1
0.1416,0.4091,0.7975,0
0.0958,0.7681,0.7824,0
0.0604,0.0235,0.1127,0
0.9097,0.4974,0.9085,1
0.6003,0.9561,0.3283,1
0.2908,0.2216,0.2009,0
0.1231,0.6771,0.5648,0
0.7782,0.8809,0.3681,1
0.0444,0.5249,0.2674,0
0.6566,0.8342,0.1353,1
0.6544,0.5452,0.6685,1
0.7369,0.7751,0.8813,1
0.9977,0.8803,0.7714,1
0.3444,0.1536,0.7877,0
0.521,0.8261,0.9221,1
0.4906,0.0567,0.1597,0
0.7487,0.0513,0.5881,0
0.4092,0.6415,0.7288,1
0.4897,0.665,0.0922,1
0.496,0.1978,0.7872,0
0.6702,0.289,0.3682,1
0.8936,0.8471,0.1085,1
0.5532,0.383,0.5699,0
0.2745,0.7662,0.3765,1
0.6334,0.1353,0.6712,0
0.7022,0.5622,0.3318,1
0.8539,0.1148,0.0193,1
0.0964,0.8475,0.9865,0
0.2019,0.7639,0.207,1
0.2263,0.5843,0.5837,0
0.0981,0.8848,0.6433,1
0.9211,0.9614,0.2596,1
0.329,0.9657,0.3007,1
0.3843,0.0603,0.2112,0
0.7169,0.3939,0.8278,1
0.7721,0.6189,0.9836,1
0.3698,0.828,0.7287,1
0.7779,0.5943,0.6697,1
0.5073,0.519,0.7114,1
0.2493,0.7898,0.5222,1
0.2873,0.147,0.9364,0
0.4408,0.6841,0.4537,1
0.8246,0.8636,0.1482,1
0.5193,0.5354,0.6117,1
0.1563,0.4318,0.9737,0
0.6937,0.2913,0.3013,1
0.3288,0.5082,0.0799,0
0.2376,0.8442,0.0745,1
0.9911,0.3347,0.4488,1
0.1276,0.296,0.6351,0
0.4889,0.9329,0.3508,1
