x1,x2,x3
43.11,40.87,74.03
47.83,29.39,71.29
46.26,44.77,81.57
50.8,29.19,74.48
57.23,25.95,48.26
44.86,25.47,74.02
53.05,28.16,87.13
40.47,28.42,75.42
44.29,37.44,78.59
40.93,34.32,49.06
47.6,27.5,80.91
46.86,27.43,53.95
56.11,32.59,77.01
41.56,35.78,66.59
45.03,28.36,81.07
57.08,31.79,58.65
45.14,33.55,79.33
53.56,30.08,66.29
36.61,27.83,50.25
48.71,36.48,83.05
49.01,26.25,49.21
58.81,24.45,60.19
43.78,37.01,82.14
45.6,33.29,74.31
38.43,27.92,70.51
66.73,28.36,72.33
51.86,43.64,51.75
64.34,27.19,67.2
41.27,26.33,81.7
44.13,32.3,68.47
50.34,26.9,76.93
51.35,31.02,77.08
42.02,27.81,77.49
41.78,34.24,76.85
42.2,26.3,69.23
44.98,33.45,77.1
43.6,30.18,68.97
52.41,28.92,74.98
49.74,39.25,77.72
49.47,32.01,85.1
58.46,32.19,66.13
43.07,34.44,65.76
46.52,35.57,77.52
67.99,26.25,73.31
41.85,30.48,75.99
43.83,31.53,77.57
45.44,32.55,77.38
36.19,24.42,80.87
43.49,26.33,77.36
61.28,25.76,56.46
47.83,31.57,74.02
52.48,32.4,75.31
40.13,20.81,53.48
43.85,26.95,57.2
56.6,24.22,59.85
59.97,31.5,76.78
47.81,28.33,59.99
50.66,40.18,87.86
40.71,29.0,73.15
46.01,34.82,75.14
56.05,23.64,83.77
54.86,28.58,70.25
43.64,30.1,75.17
53.84,25.98,80.83
65.87,25.03,89.69
55.47,27.67,78.15
51.42,36.7,37.57
39.41,30.68,72.72
55.59,37.63,62.49
51.71,26.63,52.87
57.83,32.48,79.58
27.47,24.46,87.77
66.74,38.26,54.17
45.27,33.54,55.0
45.71,29.23,81.51
40.17,33.03,78.95
48.34,35.16,86.64
52.79,33.32,82.03
46.34,32.66,67.35
43.26,33.2,63.55
57.18,25.58,71.81
56.26,26.65,52.19
52.89,26.11,60.06
38.69,43.03,68.25
59.22,23.68,69.99
38.64,31.19,70.45
53.66,31.71,68.96
56.96,22.95,62.88
57.24,26.03,84.18
48.57,26.81,66.79
55.47,35.12,73.46
63.32,33.57,64.53
51.83,22.19,67.66
35.44,29.55,76.76
48.79,28.77,84.96
33.56,32.44,70.19
60.59,31.66,66.91
37.55,30.76,85.11
44.02,31.58,64.46
55.66,35.15,47.28
48.43,35.35,67.39
53.01,33.14,83.3
46.3,23.11,85.61
40.52,27.22,59.68
57.29,22.32,79.22
49.34,34.98,77.61
51.39,26.59,54.77
27.97,36.35,62.84
58.07,29.13,63.07
39.97,40.62,72.05
52.54,27.89,55.75
48.8,29.24,71.33
43.61,28.82,63.3
50.65,31.97,67.93
42.71,28.39,59.15
52.99,19.6,59.8
40.72,24.35,76.89
57.59,28.72,89.4
42.81,21.13,75.09
55.6,24.78,79.71
