x1,x2,x3
46.81,33.45,73.24
44.12,21.65,61.05
57.33,26.37,71.03
54.43,38.32,64.56
50.1,30.2,71.42
46.31,31.14,76.0
64.95,34.49,69.77
54.0,38.46,77.53
40.24,30.48,73.8
53.13,30.79,58.06
53.89,29.61,55.68
56.08,27.07,78.31
42.33,24.51,67.15
61.96,32.96,72.25
52.41,37.57,76.52
47.14,22.72,76.51
39.34,30.63,69.47
43.63,33.53,51.22
52.67,33.4,76.6
62.1,28.1,57.0
50.99,24.22,80.46
51.63,28.14,85.5
65.87,36.83,71.59
48.57,33.65,88.23
45.79,33.9,64.13
42.59,27.27,62.3
43.51,28.61,69.63
41.72,34.53,64.16
44.25,19.88,64.52
61.9,23.99,69.91
50.49,30.77,68.44
64.49,29.46,57.93
52.62,24.09,68.98
57.89,28.15,91.11
37.17,28.26,77.29
36.35,32.72,64.03
56.55,38.8,74.66
62.94,38.57,83.7
49.15,24.39,68.99
61.17,32.26,39.53
62.24,32.25,63.38
47.72,24.73,69.03
59.32,30.06,63.7
60.0,33.17,75.62
46.89,21.51,61.36
47.79,33.81,63.0
42.1,34.07,69.42
34.32,28.17,66.01
47.8,33.34,57.62
61.2,31.5,88.17
38.38,32.3,65.93
62.39,34.66,68.07
59.06,36.53,72.0
45.74,32.33,79.05
50.65,31.26,84.26
48.4,33.76,58.59
58.64,34.64,85.54
54.41,25.38,87.35
47.45,36.29,66.52
44.94,29.11,77.83
54.24,39.68,72.03
53.14,28.73,47.12
50.37,31.57,77.95
46.99,26.54,62.08
49.84,34.98,63.44
37.83,32.63,59.75
43.71,29.02,74.95
51.49,31.71,66.37
37.03,34.92,69.72
33.74,33.54,70.91
42.16,28.43,54.38
55.4,40.79,67.85
53.05,31.81,80.13
54.02,23.46,66.68
50.4,32.55,71.62
53.26,30.67,81.71
64.46,30.93,48.1
65.38,31.28,80.63
47.22,25.93,69.91
42.81,30.49,61.59
59.91,31.84,78.36
45.5,36.73,77.97
36.04,25.88,72.56
47.0,28.34,68.23
62.95,27.54,87.82
47.27,31.97,91.94
59.62,30.82,66.95
50.47,35.03,63.82
46.52,33.04,70.49
55.61,41.34,85.93
47.99,21.5,81.23
56.71,25.05,66.93
42.67,25.43,86.66
52.15,28.11,86.98
55.84,27.09,80.23
58.7,30.54,56.77
62.27,28.91,62.18
45.9,27.17,51.02
42.22,28.33,87.01
46.92,32.99,81.56
48.42,32.17,58.05
56.73,27.41,85.72
46.45,34.27,68.88
48.23,30.75,74.85
53.68,25.15,69.31
48.2,19.4,74.44
50.82,34.56,63.26
49.24,26.43,74.14
53.59,22.55,61.97
45.08,29.17,65.21
50.4,33.31,59.94
44.2,29.94,71.94
57.41,27.32,61.75
57.51,33.02,75.34
39.23,30.14,75.05
39.53,34.73,44.14
42.32,36.33,61.22
57.09,29.08,59.09
54.92,28.46,74.45
36.82,32.71,66.98
