x1,x2,x3,label
0.2692,0.2789,0.7989,0
0.6646,0.6233,0.7714,1
0.7991,0.9555,0.9661,1
0.2916,0.4463,0.1313,0
0.7611,0.2887,0.1881,1
0.0045,0.8639,0.5218,0
0.9139,0.8459,0.2444,1
0.4932,0.6057,0.6269,1
0.1114,0.6619,0.8505,0
0.1431,0.7779,0.9034,0
0.991,0.2814,0.9172,1
0.3128,0.7123,0.8982,1
0.5744,0.3208,0.3781,0
0.9026,0.6859,0.7657,1
0.9411,0.9729,0.8315,1
0.8392,0.8981,0.3195,1
0.6325,0.5752,0.5226,1
0.4205,0.2638,0.03,0
0.9565,0.5874,0.8259,1
0.1753,0.2586,0.8149,0
0.3669,0.1884,0.6118,0
0.4902,0.8225,0.9245,1
0.7784,0.9787,0.5618,1
0.4337,0.8286,0.9716,1
0.9495,0.6119,0.2041,1
0.6932,0.2477,0.6678,0
0.9737,0.866,0.1339,1
0.8031,0.5456,0.5155,1
0.8766,0.84,0.3151,1
0.0579,0.2505,0.7831,0
0.8779,0.1008,0.5192,1
0.5967,0.5667,0.0219,1
0.0951,0.8987,0.9581,1
0.214,0.9389,0.1473,1
0.0584,0.7866,0.4014,0
0.1763,0.0035,0.0208,0
0.2482,0.1799,0.799,0
0.975,0.0987,0.0889,1
0.9964,0.0838,0.5493,1
0.155,0.3953,0.0737,0
0.972,0.0467,0.9695,1
0.4786,0.6704,0.8614,1
0.098,0.6947,0.4256,0
0.1432,0.5401,0.024,0
0.4201,0.5028,0.0074,0
0.7006,0.4519,0.5297,1
0.8329,0.0697,0.1477,0
0.4439,0.4087,0.5065,0
0.5766,0.509,0.1295,1
0.3884,0.5388,0.6378,0
0.1894,0.3755,0.3592,0
0.5887,0.257,0.4437,0
0.2128,0.4292,0.9889,0
0.9508,0.4547,0.8231,1
0.671,0.4106,0.9643,1
0.4192,0.0387,0.9082,0
0.9732,0.5773,0.2439,1
0.4579,0.6903,0.0081,1
0.9315,0.7669,0.6054,1
0.1353,0.9117,0.1929,1
0.4711,0.7424,0.1485,1
0.6947,0.3356,0.1627,1
0.7082,0.3059,0.6656,1
0.5365,0.6856,0.2239,1
0.1777,0.577,0.9824,0
0.1051,0.3332,0.638,0
0.2126,0.863,0.0679,1
0.7939,0.0591,0.2729,0
0.3496,0.4022,0.6674,0
0.2636,0.8564,0.8624,1
0.9832,0.3337,0.9679,1
0.0774,0.7133,0.4295,0
0.2965,0.9118,0.4966,1
0.9049,0.1429,0.675,1
0.3034,0.1133,0.1071,0
0.8999,0.7064,0.3147,1
0.8869,0.2372,0.1232,1
0.7254,0.8244,0.4261,1
0.3831,0.2956,0.9655,0
0.7592,0.4505,0.2277,1
