time,value
1,104.36
2,109.22
3,106.73
4,102.92
5,111.62
6,106.97
7,107.61
8,87.59
9,112.99
10,128.94
11,113.98
12,126.68
13,120.22
14,127.08
15,137.89
16,119.29
17,131.18
18,127.93
19,139.74
20,127.34
21,130.71
22,136.78
23,121.73
24,146.48
25,142.89
26,141.45
27,139.21
28,156.8
29,160.92
30,157.29
31,163.59
32,151.76
33,180.04
34,165.8
35,146.86
36,164.3
37,159.59
38,168.59
39,170.73
40,182.2
41,170.36
42,177.81
43,173.87
44,184.91
45,189.94
46,189.74
47,190.36
48,191.88
49,185.06
50,192.37
51,185.96
52,200.68
53,205.87
54,193.69
55,201.75
56,203.02
57,211.07
58,197.19
59,212.69
60,189.86
