x1,x2,x3,label
0.3797,0.6314,0.347,0
0.6045,0.4894,0.1188,0
0.7146,0.6765,0.7579,1
0.8183,0.9897,0.6364,1
0.4893,0.9475,0.2837,1
0.0704,0.6947,0.3287,0
0.6725,0.0983,0.324,0
0.4045,0.9579,0.6263,1
0.8182,0.2514,0.5414,1
0.789,0.866,0.6839,1
0.6957,0.3304,0.1733,0
0.8995,0.6231,0.0441,1
0.5476,0.564,0.7239,1
0.2109,0.7666,0.857,1
0.4024,0.2658,0.6661,0
0.5858,0.9758,0.5355,1
0.3641,0.1218,0.9222,0
0.5413,0.6795,0.2584,1
0.8909,0.0528,0.5935,1
0.5899,0.9952,0.0444,1
0.4943,0.405,0.6446,0
0.177,0.0877,0.2293,0
0.8724,0.1433,0.846,1
0.6619,0.8836,0.3963,1
0.6789,0.0342,0.9014,0
0.2557,0.3653,0.1162,0
0.6649,0.7695,0.5613,1
0.1389,0.7835,0.7894,0
0.9313,0.9671,0.0073,1
0.5885,0.7004,0.9817,1
0.1837,0.24,0.4947,0
0.5026,0.4758,0.7383,0
0.4554,0.0229,0.7687,0
0.6511,0.4643,0.82,1
0.339,0.8163,0.2861,0
0.4286,0.3829,0.4601,0
0.2422,0.839,0.9889,1
0.9981,0.2187,0.1146,1
0.239,0.2265,0.5024,0
0.1293,0.3664,0.5736,0
0.3519,0.8168,0.9302,1
0.2888,0.1202,0.8913,0
0.4258,0.8715,0.5248,1
0.6476,0.7852,0.3342,1
0.1017,0.4591,0.0193,0
0.1658,0.3922,0.9952,0
0.1869,0.8862,0.5124,0
0.4001,0.3383,0.0308,0
0.0872,0.8561,0.9262,0
0.2524,0.757,0.5184,0
0.482,0.0402,0.3289,0
0.6207,0.3463,0.4301,0
0.6915,0.4142,0.7484,1
0.3195,0.2833,0.0243,0
0.4886,0.3695,0.6216,0
0.0434,0.2723,0.6178,0
0.2797,0.3164,0.7679,0
0.6851,0.1533,0.6788,0
0.8597,0.7245,0.6232,1
0.5914,0.7549,0.0113,1
0.0119,0.5456,0.5564,0
0.0893,0.62,0.3929,0
0.0181,0.3193,0.762,0
0.981,0.0094,0.8896,1
0.7695,0.2655,0.8588,1
0.406,0.1225,0.4229,0
0.6169,0.5047,0.2844,0
0.2248,0.7742,0.4733,0
0.9025,0.6752,0.3495,1
0.8356,0.9599,0.6164,1
0.932,0.3915,0.856,1
0.9569,0.099,0.8468,1
0.3229,0.6064,0.6373,0
0.017,0.0887,0.4726,0
0.0343,0.3891,0.4114,0
0.2179,0.1726,0.1984,0
0.836,0.3712,0.8556,1
0.2405,0.0334,0.1073,0
0.4909,0.1875,0.0931,0
