x1,x2,x3
59.45,38.48,58.57
58.26,23.86,75.7
49.86,33.1,68.71
60.66,25.53,51.09
75.03,38.02,69.41
45.06,23.6,57.39
63.07,43.68,70.47
41.46,28.94,69.61
44.6,20.53,70.12
33.29,35.43,66.54
51.99,29.89,73.78
46.46,32.47,67.14
49.26,29.71,69.59
50.89,35.91,81.71
57.09,35.94,62.97
47.74,30.45,66.26
58.0,30.83,75.32
52.9,32.58,60.16
54.47,17.61,79.11
41.57,25.78,64.84
42.69,25.77,37.48
46.34,24.39,75.34
58.72,26.02,64.32
43.17,28.74,63.47
46.59,37.1,79.72
35.13,26.07,74.59
51.37,26.51,59.12
61.11,31.78,63.68
57.43,28.69,61.95
56.57,37.72,61.73
57.2,29.08,72.83
55.64,28.34,80.46
44.82,27.96,83.82
47.61,35.24,52.96
47.93,40.92,74.36
43.12,39.11,76.83
38.67,38.95,57.27
55.07,23.02,63.41
57.8,28.37,64.17
38.81,22.37,78.44
33.52,27.98,54.94
49.3,26.13,54.13
66.84,25.92,69.05
43.66,30.16,66.68
52.41,36.82,66.02
48.79,31.34,63.69
48.2,32.27,63.79
57.24,38.24,71.53
59.6,33.08,70.28
55.1,22.94,62.38
41.43,27.46,62.14
41.52,27.03,81.35
55.89,33.21,71.51
52.56,28.98,58.02
50.11,29.28,61.34
54.44,30.82,79.34
51.6,29.44,59.56
52.22,38.43,69.18
46.82,29.48,71.15
50.9,26.89,62.98
48.76,29.71,65.35
50.0,13.05,78.33
56.84,30.58,75.75
40.62,35.9,74.7
69.24,24.99,72.08
36.71,31.11,67.92
52.54,24.02,76.81
54.98,29.58,85.08
42.28,23.32,66.88
45.56,35.22,81.88
64.35,34.34,71.52
49.53,32.37,76.53
44.91,25.56,49.77
51.23,24.17,58.54
41.02,29.12,68.1
50.34,38.24,71.61
54.36,27.72,58.86
55.47,39.69,78.28
40.93,25.77,78.54
48.47,29.87,71.38
45.51,40.27,51.41
47.2,24.38,69.36
42.19,27.57,77.17
49.29,36.08,80.33
49.12,30.77,68.63
39.66,25.93,57.04
51.76,35.71,48.03
58.13,28.96,69.77
48.8,35.76,48.48
50.69,34.66,63.58
53.68,28.1,67.91
56.29,32.08,69.06
51.43,26.56,68.89
50.24,23.99,77.17
48.17,22.3,83.6
46.85,34.54,59.7
45.64,27.91,58.07
56.46,24.55,80.62
49.17,29.61,70.32
47.02,26.07,76.94
37.12,30.97,64.43
54.65,33.46,85.59
56.67,39.7,89.1
52.41,28.82,76.67
53.48,29.42,88.11
44.48,20.1,83.31
64.54,24.44,69.87
53.81,31.97,70.46
60.79,25.95,72.09
51.21,24.65,74.64
58.45,31.49,60.04
39.58,25.89,84.85
39.71,26.09,81.79
29.39,28.39,74.08
58.8,26.69,66.83
42.47,32.4,77.73
57.19,32.71,75.0
54.65,32.59,70.2
62.08,31.25,74.13
41.77,29.35,73.52
