x1,x2,x3,label
0.4211,0.1562,0.4927,0
0.6249,0.2033,0.3268,0
0.1904,0.3521,0.1402,0
0.3791,0.9164,0.3463,1
0.3628,0.1922,0.4919,0
0.4169,0.0508,0.5122,0
0.915,0.9161,0.6597,1
0.7472,0.3379,0.9722,1
0.1506,0.4815,0.5024,0
0.1865,0.2122,0.7713,0
0.5453,0.8699,0.919,1
0.8262,0.7311,0.9973,1
0.0062,0.9548,0.6971,1
0.7536,0.8792,0.3168,1
0.6887,0.364,0.9942,1
0.2023,0.2484,0.3818,0
0.3057,0.482,0.6382,0
0.7129,0.4294,0.085,1
0.3747,0.3067,0.9315,0
0.4214,0.3563,0.1662,0
0.9884,0.232,0.537,1
0.8553,0.6036,0.4075,1
0.513,0.9173,0.7326,1
0.7594,0.4114,0.7016,1
0.4597,0.5651,0.8257,1
0.4104,0.6428,0.1242,1
0.1428,0.8463,0.7988,1
0.9821,0.7664,0.0301,1
0.1188,0.6924,0.7454,0
0.5653,0.2936,0.8036,0
0.2809,0.3064,0.4424,0
0.1045,0.1989,0.5464,0
0.2384,0.1441,0.159,0
0.5929,0.035,0.0896,0
0.7467,0.8431,0.871,1
0.6755,0.3441,0.3093,1
0.4274,0.9784,0.2559,1
0.4855,0.3402,0.1649,0
0.9973,0.0026,0.9135,1
0.5338,0.1848,0.0074,0
0.92,0.6841,0.3656,1
0.5203,0.4593,0.3888,1
0.4023,0.6974,0.5232,1
0.0643,0.7945,0.9326,0
0.8338,0.828,0.8335,1
0.4313,0.6397,0.8301,1
0.8388,0.6008,0.632,1
0.6091,0.1359,0.0838,0
0.0072,0.2574,0.7596,0
0.778,0.2197,0.1866,1
0.4697,0.7058,0.1474,1
0.176,0.535,0.8579,0
0.6519,0.0625,0.3842,0
0.8847,0.5377,0.257,1
0.7376,0.7059,0.896,1
0.9418,0.0481,0.7482,1
0.1208,0.7672,0.245,0
0.143,0.6388,0.7436,0
0.2626,0.4038,0.9803,0
0.6173,0.9766,0.986,1
0.1345,0.2796,0.9595,0
0.9674,0.5894,0.1818,1
0.0617,0.2528,0.3829,0
0.5411,0.1406,0.2302,0
0.0466,0.9121,0.2752,1
0.3212,0.9317,0.5215,1
0.6978,0.9323,0.216,1
0.414,0.6395,0.0135,1
0.5748,0.8856,0.1887,1
0.6217,0.941,0.574,1
0.5596,0.2273,0.9448,0
0.5999,0.4174,0.003,1
0.094,0.6651,0.8049,0
0.166,0.4085,0.9952,0
0.6387,0.5713,0.1122,1
0.1498,0.8766,0.8768,1
0.8686,0.6456,0.7767,1
0.5451,0.6755,0.9847,1
0.6609,0.3758,0.5095,1
0.0253,0.4871,0.9956,0
