x1,x2,x3,label
0.7074,0.7729,0.8172,1
0.8779,0.2688,0.1429,1
0.0875,0.2688,0.6013,0
0.4821,0.9237,0.6853,1
0.0948,0.5255,0.6332,0
0.4045,0.1599,0.0328,0
0.2357,0.6453,0.5807,0
0.9795,0.7269,0.053,1
0.0884,0.4927,0.5031,0
0.4263,0.2519,0.3251,0
0.6638,0.9398,0.1303,1
0.147,0.2104,0.2049,0
0.7491,0.716,0.4604,1
0.1731,0.9292,0.4305,1
0.0466,0.7382,0.9993,0
0.5965,0.1009,0.2922,0
0.5057,0.9632,0.1015,1
0.9902,0.8947,0.3615,1
0.2279,0.9129,0.0287,1
0.499,0.114,0.4621,0
0.6051,0.1143,0.7068,0
0.8872,0.3773,0.6562,1
0.5687,0.9883,0.3941,1
0.9893,0.7453,0.1696,1
0.4741,0.7883,0.334,1
0.4834,0.3969,0.7054,0
0.3088,0.9899,0.1119,1
0.9749,0.7767,0.7525,1
0.0546,0.0336,0.2745,0
0.7218,0.0163,0.5402,0
0.2783,0.9925,0.68,1
0.4688,0.5013,0.7242,1
0.9383,0.0859,0.2454,1
0.7099,0.9061,0.7305,1
0.5801,0.695,0.0359,1
0.7575,0.4007,0.106,1
0.9386,0.951,0.9361,1
0.6039,0.371,0.957,1
0.9654,0.1279,0.4605,1
0.7765,0.4865,0.0076,1
0.182,0.6968,0.0138,0
0.5479,0.6383,0.6746,1
0.3776,0.1936,0.7202,0
0.8333,0.7294,0.5963,1
0.4683,0.852,0.2763,1
0.3724,0.3362,0.1079,0
0.765,0.3393,0.0012,1
0.3346,0.5543,0.2973,0
0.1312,0.2853,0.2171,0
0.6401,0.9098,0.2504,1
0.4339,0.0109,0.376,0
0.3612,0.2199,0.1021,0
0.4248,0.4936,0.9468,0
0.1134,0.9073,0.4292,1
0.6623,0.5576,0.6173,1
0.2465,0.9884,0.9663,1
0.1584,0.4727,0.5561,0
0.0459,0.8066,0.2481,0
0.7047,0.165,0.2339,0
0.0038,0.6964,0.8032,0
0.7913,0.5774,0.5393,1
0.2876,0.4074,0.3077,0
0.8462,0.6725,0.3417,1
0.9234,0.7929,0.2124,1
0.368,0.2882,0.1506,0
0.717,0.2328,0.83,0
0.0514,0.7419,0.279,0
0.4887,0.7747,0.2619,1
0.1519,0.4149,0.6283,0
0.6122,0.3983,0.6931,1
0.469,0.8658,0.4222,1
0.0115,0.2104,0.0478,0
0.4785,0.4131,0.6304,0
0.8869,0.9404,0.7982,1
0.8262,0.1155,0.6589,0
0.2176,0.956,0.3378,1
0.5943,0.1396,0.3304,0
0.9899,0.6116,0.7136,1
0.3984,0.8238,0.637,1
0.6187,0.4465,0.0353,1
