x1,x2,x3,label
0.0648,0.4238,0.3789,0
0.358,0.5793,0.276,0
0.8911,0.4451,0.0319,1
0.2632,0.9529,0.0466,1
0.3805,0.1463,0.3914,0
0.0415,0.9105,0.91,1
0.2766,0.8521,0.3331,1
0.2805,0.6524,0.8285,0
0.8186,0.5769,0.2477,1
0.4683,0.8591,0.3847,1
0.2535,0.8,0.3343,1
0.8163,0.8703,0.9471,1
0.5439,0.9815,0.2897,1
0.153,0.5846,0.6392,0
0.6022,0.2255,0.6244,0
0.7672,0.2081,0.5642,1
0.1861,0.2396,0.5289,0
0.6371,0.8305,0.3189,1
0.8055,0.9804,0.9248,1
0.2313,0.3759,0.251,0
0.4868,0.4486,0.698,0
0.3625,0.2056,0.8819,0
0.9117,0.9609,0.18,1
0.1261,0.0701,0.9402,0
0.1791,0.1786,0.4366,0
0.0314,0.9795,0.9343,1
0.9046,0.9273,0.2601,1
0.6357,0.6516,0.8349,1
0.4975,0.4871,0.9605,1
0.1137,0.9173,0.2474,1
0.718,0.3864,0.4305,1
0.9919,0.9695,0.2874,1
0.4815,0.3837,0.5197,0
0.3177,0.6069,0.6015,0
0.225,0.9694,0.4142,1
0.2191,0.2238,0.5339,0
0.0499,0.0694,0.2356,0
0.9599,0.4723,0.1391,1
0.1927,0.5464,0.212,0
0.4453,0.0848,0.7041,0
0.8903,0.9719,0.8011,1
0.5487,0.6402,0.549,1
0.561,0.1896,0.2499,0
0.5122,0.6108,0.2646,1
0.2018,0.9639,0.3127,1
0.0656,0.7854,0.3418,0
0.9649,0.2719,0.0637,1
0.8222,0.0435,0.9596,0
0.004,0.9912,0.736,1
0.8471,0.6495,0.4582,1
0.873,0.0301,0.2546,0
0.0433,0.3977,0.8085,0
0.7971,0.4598,0.3317,1
0.9855,0.4182,0.2926,1
0.7668,0.9716,0.7394,1
0.9327,0.1845,0.2783,1
0.4526,0.4567,0.7648,0
0.5996,0.1652,0.9525,0
0.735,0.0274,0.0246,0
0.2135,0.0795,0.2281,0
0.0881,0.6621,0.2152,0
0.6086,0.9605,0.3298,1
0.1889,0.424,0.235,0
0.2389,0.1179,0.0448,0
0.0726,0.0454,0.193,0
0.3041,0.6473,0.5175,1
0.2719,0.7244,0.4125,1
0.2319,0.1998,0.7134,0
0.3809,0.6651,0.3506,1
0.4968,0.3156,0.5541,0
0.9687,0.3729,0.5593,1
0.6582,0.701,0.3117,1
0.3895,0.9951,0.0281,1
0.1573,0.4977,0.1099,0
0.3851,0.8794,0.134,1
0.3267,0.7677,0.7569,1
0.7121,0.2904,0.5044,1
0.345,0.8738,0.2915,1
0.3118,0.0917,0.3824,0
0.3954,0.6054,0.7175,1
