x1,x2,x3,label
0.0552,0.4184,0.7858,0
0.7062,0.6768,0.0533,1
0.9191,0.5371,0.9486,1
0.7001,0.042,0.1098,0
0.6735,0.5286,0.5435,1
0.0797,0.7132,0.3844,0
0.2044,0.8046,0.1463,0
0.8713,0.1824,0.5065,1
0.1381,0.9218,0.0721,0
0.3518,0.7988,0.7302,1
0.9098,0.7124,0.6865,1
0.3533,0.6861,0.8775,1
0.4596,0.3061,0.4959,0
0.6888,0.0056,0.7883,0
0.5084,0.3312,0.0043,0
0.0034,0.466,0.1122,0
0.4482,0.6113,0.3941,0
0.4832,0.5452,0.2367,0
0.8413,0.179,0.7742,1
0.5386,0.9345,0.5272,1
0.0717,0.1776,0.9003,0
0.3325,0.907,0.1952,0
0.3063,0.341,0.8568,0
0.5064,0.7435,0.7266,1
0.704,0.1092,0.18,0
0.9954,0.4807,0.0221,1
0.1457,0.835,0.0904,0
0.6809,0.0872,0.6211,0
0.1506,0.9184,0.902,1
0.1244,0.3964,0.5968,0
0.0004,0.4382,0.6178,0
0.6539,0.1666,0.456,0
0.1857,0.7974,0.6729,0
0.3699,0.2401,0.2683,0
0.3865,0.6545,0.4253,0
0.503,0.9261,0.6202,1
0.0775,0.6933,0.8849,0
0.4611,0.2432,0.6442,0
0.4981,0.5951,0.146,0
0.7869,0.6226,0.898,1
0.9632,0.6187,0.4285,1
0.498,0.5997,0.3796,0
0.0912,0.33,0.4563,0
0.0052,0.1848,0.6488,0
0.1207,0.2542,0.0086,0
0.1766,0.574,0.3386,0
0.6996,0.525,0.1584,0
0.1246,0.0251,0.9451,0
0.1554,0.983,0.241,0
0.1237,0.0768,0.477,0
0.7016,0.1099,0.2912,0
0.0077,0.2331,0.4899,0
0.5413,0.7667,0.6218,1
0.3288,0.5364,0.3127,0
0.4927,0.0014,0.3679,0
0.6015,0.1768,0.1342,0
0.9033,0.8406,0.316,1
0.1153,0.2622,0.8092,0
0.864,0.4543,0.1907,1
0.663,0.9914,0.7334,1
0.1581,0.3615,0.4794,0
0.3376,0.8782,0.0301,0
0.168,0.4166,0.152,0
0.3593,0.6934,0.0528,0
