x1,x2,x3
60.67,38.88,68.52
50.58,35.56,68.72
51.91,38.36,60.69
53.02,32.47,62.93
56.92,31.16,72.88
48.86,34.63,75.96
46.65,32.52,79.96
45.88,29.75,69.19
43.43,35.45,71.9
45.51,29.11,67.47
37.9,26.99,79.35
38.51,28.57,74.0
55.99,38.11,68.28
45.84,28.31,72.79
47.35,22.67,69.96
25.84,19.89,71.09
56.35,23.51,62.56
42.4,23.09,82.33
49.23,35.53,51.79
56.69,29.08,67.18
59.64,21.87,79.07
51.82,29.28,58.33
47.07,23.24,68.67
46.79,24.32,76.16
64.89,39.14,77.88
41.99,28.23,82.93
56.57,26.85,65.13
56.96,36.09,70.33
42.83,36.63,62.74
41.6,32.83,72.93
51.16,23.1,75.2
53.98,36.34,57.12
52.57,19.81,54.1
52.13,32.67,83.01
49.95,25.84,73.11
51.31,26.14,65.44
38.29,35.63,76.29
65.01,16.95,63.18
47.46,30.94,49.38
60.66,23.51,73.09
58.41,20.99,71.24
43.51,25.37,86.29
60.56,32.76,54.49
55.88,31.24,80.19
53.49,33.45,60.19
49.81,25.04,60.02
63.21,34.55,78.76
41.35,39.79,75.48
55.02,29.23,77.1
51.07,36.1,89.13
50.64,31.18,74.13
53.73,29.74,70.97
41.25,28.68,73.68
45.52,25.26,82.95
53.33,30.71,88.57
50.43,23.62,92.14
51.24,21.37,72.59
50.76,36.77,81.43
45.42,30.34,80.6
53.44,32.73,85.39
36.33,35.77,47.18
52.49,32.84,78.13
36.69,29.72,85.53
57.34,37.69,79.61
52.36,26.78,74.7
56.58,30.52,73.14
40.28,33.73,78.26
60.95,26.95,49.68
55.14,24.47,72.9
44.67,25.08,51.05
55.1,32.83,68.58
44.34,30.94,70.33
42.16,25.42,67.11
43.53,22.84,64.47
67.36,25.61,67.74
58.93,30.85,81.86
45.2,32.34,79.5
56.01,24.07,63.9
61.22,34.71,67.15
66.46,33.04,45.69
51.45,35.54,70.92
56.28,27.31,57.42
52.46,39.83,57.04
59.46,33.21,68.03
52.41,24.33,59.22
42.76,29.99,77.01
42.34,36.28,64.96
51.63,31.16,94.74
37.54,28.65,68.04
50.4,34.79,78.01
50.88,30.55,66.32
47.3,37.82,73.75
62.71,23.14,73.67
46.63,37.88,75.52
48.55,41.28,89.28
65.72,32.34,76.75
49.36,31.8,69.35
37.73,28.5,55.97
37.84,25.18,70.94
37.03,19.69,64.31
48.38,33.65,68.65
57.53,34.0,69.34
45.32,27.2,62.43
56.48,32.08,69.09
59.05,34.6,63.13
58.44,33.39,67.46
51.14,27.81,62.49
42.26,27.25,57.55
45.09,33.85,87.06
55.59,28.89,74.56
55.26,29.81,80.51
42.47,28.37,62.07
36.74,23.46,52.71
51.6,26.98,84.21
64.77,35.35,60.8
46.45,31.45,70.05
61.35,33.41,60.06
58.23,22.14,55.98
46.29,30.82,52.69
33.99,29.38,58.35
