x1,x2,x3,label
0.3025,0.9844,0.8132,1
0.1317,0.7209,0.9239,0
0.5032,0.405,0.1135,0
0.0988,0.8702,0.9086,1
0.2397,0.7011,0.6353,0
0.986,0.0574,0.6076,1
0.2092,0.0756,0.8085,0
0.271,0.9621,0.7038,1
0.6274,0.6396,0.0025,1
0.8612,0.6468,0.9379,1
0.2119,0.6097,0.6915,0
0.4316,0.1731,0.6615,0
0.5463,0.6526,0.7347,1
0.6563,0.5256,0.9503,1
0.8989,0.23,0.3506,1
0.0098,0.3582,0.0933,0
0.77,0.2943,0.8552,1
0.8988,0.207,0.3387,1
0.0594,0.5709,0.3172,0
0.6408,0.2999,0.0037,0
0.5131,0.5944,0.4961,1
0.7303,0.3804,0.4216,1
0.4285,0.4324,0.7896,0
0.3661,0.59,0.2659,1
0.8928,0.4067,0.0945,1
0.8109,0.5215,0.118,1
0.3063,0.5491,0.2648,0
0.0207,0.7314,0.0793,0
0.8402,0.0651,0.3016,0
0.847,0.591,0.8805,1
0.6217,0.7301,0.8184,1
0.9683,0.3315,0.2196,1
0.7349,0.5743,0.0344,1
0.684,0.7474,0.7347,1
0.4676,0.5493,0.47,1
0.0324,0.4052,0.1456,0
0.1271,0.9669,0.3123,1
0.9256,0.3098,0.5303,1
0.7689,0.1694,0.6532,0
0.1276,0.0694,0.0489,0
0.4466,0.7858,0.0487,1
0.7542,0.2152,0.9817,1
0.508,0.0677,0.0446,0
0.0118,0.2204,0.5391,0
0.1175,0.1299,0.6932,0
0.4679,0.8725,0.7238,1
0.5981,0.7142,0.9271,1
0.5841,0.6432,0.2964,1
0.5539,0.9114,0.0994,1
0.3745,0.3834,0.8111,0
0.4665,0.9119,0.1875,1
0.9289,0.9206,0.6002,1
0.2902,0.2032,0.0051,0
0.3116,0.6385,0.3309,1
0.9068,0.8774,0.7863,1
0.0667,0.2089,0.067,0
0.1282,0.4326,0.1446,0
0.3292,0.1751,0.2341,0
0.0888,0.2657,0.4736,0
0.2687,0.1554,0.8053,0
0.2032,0.1397,0.6564,0
0.2648,0.0018,0.3742,0
0.039,0.1263,0.5319,0
0.9876,0.8852,0.7158,1
0.0684,0.7785,0.611,0
0.7322,0.5334,0.6651,1
0.0295,0.7548,0.6228,0
0.667,0.8014,0.0184,1
0.7715,0.2271,0.5536,1
0.011,0.2712,0.0746,0
0.7779,0.2614,0.6312,1
0.5794,0.1994,0.146,0
0.375,0.0488,0.4546,0
0.4346,0.4181,0.1736,0
0.1678,0.4301,0.6979,0
0.8679,0.0445,0.1797,0
0.04,0.2389,0.7056,0
0.8307,0.0989,0.3389,0
0.4343,0.571,0.0802,1
0.3975,0.9179,0.7727,1
