x1,x2,x3,label
0.8286,0.5971,0.7343,1
0.4111,0.3124,0.4224,0
0.9655,0.4889,0.2855,1
0.1286,0.6798,0.3651,0
0.3148,0.4565,0.2103,0
0.4302,0.2729,0.5654,0
0.254,0.612,0.9932,0
0.7727,0.1619,0.0386,0
0.0653,0.5487,0.2785,0
0.0107,0.2878,0.6337,0
0.7518,0.0269,0.854,0
0.5608,0.8571,0.9878,1
0.2672,0.3103,0.2317,0
0.3521,0.3839,0.4698,0
0.2064,0.5988,0.3704,0
0.2658,0.6351,0.9312,0
0.3627,0.6742,0.9315,1
0.9902,0.4343,0.3093,1
0.9717,0.8169,0.1951,1
0.2529,0.851,0.8379,1
0.1753,0.2803,0.7405,0
0.2004,0.6939,0.962,0
0.608,0.7227,0.5572,1
0.8906,0.2483,0.4618,1
0.8048,0.238,0.1584,1
0.7025,0.3537,0.7546,1
0.6895,0.8369,0.6493,1
0.3001,0.694,0.518,1
0.4145,0.6878,0.2279,1
0.2661,0.3447,0.3557,0
0.8038,0.1437,0.7599,0
0.3339,0.4202,0.025,0
0.111,0.8076,0.7536,0
0.5239,0.1399,0.0746,0
0.2017,0.9207,0.7691,1
0.2593,0.9975,0.4255,1
0.136,0.9061,0.5528,1
0.7363,0.7896,0.6363,1
0.6169,0.4288,0.1372,1
0.9154,0.7659,0.8114,1
0.1567,0.674,0.2935,0
0.8337,0.8334,0.0303,1
0.5893,0.8444,0.8538,1
0.304,0.3445,0.0456,0
0.1838,0.6872,0.4621,0
0.3856,0.118,0.9251,0
0.8713,0.8311,0.9739,1
0.6996,0.3742,0.5639,1
0.6097,0.0258,0.6928,0
0.4198,0.7252,0.369,1
0.8381,0.5451,0.694,1
0.0048,0.1517,0.5564,0
0.5783,0.4455,0.7728,1
0.6357,0.5356,0.4605,1
0.5677,0.5813,0.7698,1
0.2891,0.1594,0.1699,0
0.3028,0.1809,0.7698,0
0.961,0.0475,0.8328,1
0.7681,0.6128,0.0076,1
0.9567,0.5704,0.5977,1
0.7076,0.2596,0.6241,1
0.0552,0.4884,0.559,0
0.3028,0.5532,0.3791,0
0.0989,0.5897,0.6919,0
0.8769,0.7917,0.8325,1
0.7434,0.3638,0.8951,1
0.4911,0.4087,0.5961,0
0.1578,0.2295,0.3155,0
0.8637,0.7812,0.5388,1
0.9138,0.6133,0.565,1
0.4331,0.6061,0.7669,1
0.1384,0.9218,0.3227,1
0.3949,0.4732,0.3137,0
0.3295,0.6318,0.5844,1
0.9215,0.9519,0.9727,1
0.2728,0.2814,0.448,0
0.7272,0.3405,0.6808,1
0.3873,0.2727,0.0843,0
0.0344,0.2593,0.6403,0
0.8145,0.6445,0.9915,1
