time,value
1,103.57
2,108.1
3,116.45
4,108.62
5,107.64
6,122.5
7,109.71
8,116.64
9,119.87
10,110.93
11,129.83
12,117.04
13,117.89
14,112.89
15,133.78
16,119.86
17,129.85
18,143.64
19,141.86
20,139.85
21,125.88
22,136.73
23,147.86
24,144.94
25,143.35
26,140.6
27,155.29
28,152.67
29,144.29
30,147.72
31,151.46
32,153.98
33,149.87
34,159.59
35,170.58
36,164.02
37,166.16
38,178.31
39,171.76
40,181.26
41,184.4
42,171.95
43,175.8
44,164.85
45,183.38
46,198.21
47,164.3
48,177.03
49,186.46
50,199.61
51,193.51
52,185.93
53,180.33
54,184.41
55,205.91
56,205.13
57,202.43
58,190.02
59,199.99
60,204.14
