x1,x2,x3,label
0.4373,0.5264,0.4412,1
0.6169,0.3024,0.5223,0
0.4241,0.2664,0.5465,0
0.0106,0.8664,0.826,0
0.3657,0.6694,0.1346,1
0.97,0.4835,0.6433,1
0.3231,0.6252,0.0566,0
0.877,0.7007,0.2851,1
0.2706,0.9738,0.9515,1
0.6525,0.4761,0.1148,1
0.0195,0.836,0.1535,0
0.9447,0.959,0.8338,1
0.8424,0.107,0.8613,0
0.4881,0.0481,0.5166,0
0.8657,0.0996,0.0013,1
0.4557,0.5535,0.4073,1
0.8243,0.5757,0.0127,1
0.9181,0.9714,0.0872,1
0.9468,0.2353,0.3642,1
0.2615,0.9962,0.3701,1
0.9355,0.6911,0.7773,1
0.3267,0.4494,0.1574,0
0.0279,0.2663,0.1974,0
0.3205,0.8402,0.592,1
0.8465,0.191,0.8985,1
0.5101,0.4269,0.4434,0
0.9719,0.2965,0.8296,1
0.7846,0.4062,0.661,1
0.4494,0.4516,0.7744,0
0.6628,0.4833,0.7976,1
0.9339,0.8385,0.9808,1
0.7536,0.6534,0.3137,1
0.8205,0.834,0.074,1
0.2428,0.5054,0.0286,0
0.4906,0.8653,0.9763,1
0.9563,0.3257,0.4749,1
0.4902,0.6167,0.6493,1
0.3121,0.7159,0.7625,1
0.4292,0.1327,0.0204,0
0.0746,0.3981,0.376,0
0.724,0.6917,0.0193,1
0.5076,0.0892,0.4287,0
0.6541,0.2447,0.1031,0
0.843,0.2551,0.0551,1
0.5814,0.1985,0.4598,0
0.5927,0.263,0.9359,0
0.2243,0.0909,0.2312,0
0.4096,0.7887,0.3731,1
0.2487,0.1617,0.9001,0
0.3387,0.3108,0.2638,0
0.6833,0.6772,0.4332,1
0.747,0.0514,0.3659,0
0.0557,0.7521,0.0545,0
0.3584,0.8878,0.1288,1
0.314,0.1551,0.6832,0
0.0801,0.9934,0.7849,1
0.4877,0.703,0.8507,1
0.4654,0.0605,0.3891,0
0.5282,0.3719,0.5539,0
0.5481,0.2414,0.7006,0
0.5484,0.3336,0.1605,0
0.7666,0.7787,0.1236,1
0.2365,0.005,0.7959,0
0.165,0.4315,0.2481,0
0.0707,0.6174,0.584,0
0.2633,0.1533,0.3053,0
0.6059,0.4689,0.1857,1
0.4207,0.5406,0.3317,1
0.2609,0.9576,0.042,1
0.1407,0.5023,0.1563,0
0.0218,0.4118,0.0072,0
0.6301,0.2936,0.8599,0
0.3263,0.8483,0.0899,1
0.6229,0.9192,0.1108,1
0.8635,0.5921,0.186,1
0.7895,0.9168,0.8277,1
0.4389,0.9718,0.3674,1
0.6107,0.4024,0.4559,1
0.2953,0.7672,0.2214,1
0.0378,0.5213,0.8578,0
