x1,x2,x3,label
0.2141,0.7884,0.9793,1
0.3702,0.6872,0.2198,1
0.3018,0.803,0.4949,1
0.5335,0.0718,0.0649,0
0.3106,0.2015,0.0564,0
0.1381,0.832,0.097,1
0.233,0.4255,0.4344,0
0.9139,0.5593,0.5618,1
0.381,0.8566,0.7797,1
0.8163,0.9038,0.622,1
0.6845,0.7342,0.4642,1
0.2249,0.5517,0.2912,0
0.6688,0.8876,0.3765,1
0.7059,0.0155,0.3414,0
0.9028,0.2363,0.3989,1
0.5883,0.3988,0.0986,1
0.4982,0.6016,0.5781,1
0.5656,0.7396,0.8921,1
0.4365,0.1906,0.1651,0
0.7703,0.3722,0.2002,1
0.7506,0.7426,0.2898,1
0.996,0.9741,0.929,1
0.6755,0.3636,0.126,1
0.7118,0.0769,0.7825,0
0.6637,0.6355,0.9615,1
0.0339,0.0571,0.3797,0
0.9113,0.6697,0.5501,1
0.2582,0.5155,0.0819,0
0.3938,0.4053,0.0055,0
0.544,0.2208,0.6984,0
0.9222,0.3059,0.4562,1
0.7494,0.116,0.0825,0
0.7242,0.8352,0.2111,1
0.5921,0.6305,0.2293,1
0.6556,0.0446,0.6083,0
0.8935,0.3727,0.2649,1
0.297,0.5591,0.3172,0
0.1641,0.3823,0.6163,0
0.4211,0.5927,0.0118,1
0.354,0.1931,0.2648,0
0.9258,0.7599,0.7474,1
0.5292,0.8388,0.4228,1
0.8958,0.3973,0.7147,1
0.882,0.6022,0.3879,1
0.4126,0.6983,0.1566,1
0.722,0.9909,0.8468,1
0.3012,0.6531,0.426,1
0.3811,0.6616,0.8024,1
0.2196,0.8436,0.9507,1
0.1191,0.0362,0.173,0
0.4318,0.084,0.4229,0
0.914,0.3463,0.7747,1
0.7119,0.7223,0.5091,1
0.4362,0.848,0.9581,1
0.0008,0.2797,0.0017,0
0.2281,0.2899,0.0259,0
0.025,0.0771,0.0345,0
0.7122,0.2343,0.9814,0
0.5225,0.32,0.4385,0
0.8915,0.7747,0.7197,1
0.7311,0.8046,0.1536,1
0.6093,0.3661,0.3505,1
0.4006,0.4438,0.4546,0
0.3717,0.498,0.9412,0
0.5778,0.3209,0.2008,0
0.4354,0.9677,0.3761,1
0.3063,0.6052,0.0564,0
0.5819,0.3461,0.7372,0
0.7269,0.5524,0.9444,1
0.7898,0.7225,0.8368,1
0.2163,0.6349,0.9985,0
0.5856,0.5905,0.4007,1
0.0776,0.823,0.6614,0
0.7699,0.0312,0.2709,0
0.5001,0.7609,0.9722,1
0.0096,0.7977,0.1385,0
0.6757,0.0987,0.5738,0
0.0876,0.6867,0.0356,0
0.5242,0.2402,0.841,0
0.0963,0.7385,0.9089,0
