x1,x2,x3,label
0.279,0.4162,0.282,0
0.7613,0.4766,0.553,1
0.8768,0.3801,0.6777,1
0.5455,0.6201,0.7362,1
0.2197,0.2658,0.6896,0
0.0543,0.1482,0.8777,0
0.0505,0.4966,0.334,0
0.4499,0.0804,0.5205,0
0.5706,0.2503,0.9708,0
0.0936,0.9071,0.0582,1
0.3417,0.8147,0.0062,1
0.2072,0.9851,0.683,1
0.3739,0.4265,0.7705,0
0.7217,0.9906,0.3316,1
0.4034,0.1685,0.324,0
0.0046,0.0405,0.2621,0
0.0187,0.0436,0.7775,0
0.6322,0.3426,0.3524,1
0.0551,0.9266,0.0995,1
0.7211,0.7374,0.8333,1
0.3881,0.3209,0.473,0
0.3827,0.7528,0.2333,1
0.6669,0.5115,0.7532,1
0.4288,0.8093,0.6955,1
0.2161,0.415,0.959,0
0.6388,0.6171,0.3004,1
0.5596,0.5835,0.1533,1
0.3222,0.5766,0.2416,0
0.4354,0.4482,0.2338,0
0.454,0.1972,0.841,0
0.7862,0.2658,0.6504,1
0.7908,0.7612,0.8631,1
0.5131,0.6268,0.8178,1
0.6022,0.3027,0.5258,0
0.8923,0.1232,0.4201,1
0.4716,0.7671,0.6615,1
0.1435,0.5953,0.8996,0
0.3394,0.0499,0.6446,0
0.5414,0.177,0.9272,0
0.2378,0.1078,0.4463,0
0.3682,0.2445,0.0586,0
0.8717,0.978,0.864,1
0.785,0.116,0.9828,0
0.1734,0.8546,0.5568,1
0.083,0.7548,0.4827,0
0.7693,0.7498,0.2581,1
0.0615,0.8659,0.2758,0
0.5207,0.6426,0.2368,1
0.8387,0.6678,0.2445,1
0.1945,0.0258,0.5162,0
0.0856,0.6318,0.5179,0
0.3645,0.6779,0.073,1
0.987,0.1835,0.2855,1
0.5258,0.9051,0.7164,1
0.7278,0.0049,0.3428,0
0.5059,0.9047,0.8158,1
0.3848,0.7624,0.4483,1
0.6754,0.4341,0.1458,1
0.6346,0.8598,0.6372,1
0.361,0.4425,0.1909,0
0.3576,0.3437,0.1712,0
0.011,0.8732,0.8752,0
0.555,0.5811,0.751,1
0.0935,0.7749,0.417,0
0.7853,0.1056,0.1235,0
0.5304,0.4243,0.3433,1
0.4539,0.0496,0.3765,0
0.9147,0.81,0.1875,1
0.0994,0.8927,0.6313,1
0.2891,0.0402,0.4785,0
0.748,0.0302,0.4292,0
0.0092,0.6855,0.0565,0
0.9155,0.8848,0.4144,1
0.0683,0.6783,0.7355,0
0.9463,0.7289,0.7879,1
0.5942,0.3862,0.0059,1
0.3041,0.7702,0.5377,1
0.7408,0.87,0.4915,1
0.7403,0.4075,0.0801,1
0.9679,0.5594,0.6392,1
