x1,x2,x3,label
0.5828,0.2045,0.1337,0
0.4927,0.3042,0.2834,0
0.6061,0.9947,0.7772,1
0.7252,0.2631,0.251,1
0.6305,0.7477,0.3803,1
0.3535,0.7097,0.2817,1
0.9787,0.6877,0.8228,1
0.7495,0.7953,0.4153,1
0.7414,0.7714,0.4726,1
0.2884,0.3437,0.2951,0
0.3034,0.839,0.4853,1
0.1275,0.9835,0.3515,1
0.8646,0.8374,0.0045,1
0.4453,0.138,0.0598,0
0.4004,0.1888,0.9421,0
0.183,0.281,0.3785,0
0.6976,0.6669,0.1673,1
0.2192,0.9287,0.7264,1
0.8707,0.7362,0.6257,1
0.8282,0.166,0.6612,1
0.9968,0.931,0.9329,1
0.1969,0.6147,0.7364,0
0.6866,0.9033,0.7368,1
0.2002,0.1009,0.4948,0
0.8814,0.1713,0.2575,1
0.5363,0.3697,0.3976,0
0.4752,0.7374,0.045,1
0.9213,0.8161,0.0316,1
0.8506,0.5805,0.2166,1
0.5389,0.7575,0.298,1
0.6362,0.6995,0.0984,1
0.3574,0.6064,0.6586,1
0.1878,0.3303,0.3794,0
0.6443,0.3886,0.6305,1
0.4645,0.7315,0.4058,1
0.0174,0.0209,0.5608,0
0.2498,0.6303,0.1917,0
0.4615,0.8023,0.6893,1
0.5242,0.3113,0.0704,0
0.9447,0.4474,0.8087,1
0.925,0.4257,0.8877,1
0.8613,0.9748,0.4383,1
0.9693,0.3131,0.7798,1
0.9975,0.8383,0.0504,1
0.7948,0.3281,0.4084,1
0.276,0.0059,0.0813,0
0.2894,0.4489,0.7157,0
0.7016,0.6476,0.0561,1
0.8684,0.7173,0.2545,1
0.6189,0.2374,0.0351,0
0.7381,0.1092,0.1113,0
0.3297,0.977,0.4231,1
0.9129,0.264,0.9571,1
0.1639,0.9053,0.4456,1
0.8683,0.6181,0.7437,1
0.3913,0.711,0.6946,1
0.2859,0.955,0.4676,1
0.814,0.8382,0.2639,1
0.5106,0.5951,0.4179,1
0.2602,0.4973,0.2557,0
0.1667,0.7323,0.6624,0
0.8499,0.7788,0.1679,1
0.6198,0.3088,0.7273,0
0.8087,0.1712,0.6563,1
0.2226,0.3036,0.3129,0
0.4397,0.909,0.5733,1
0.1575,0.2312,0.8892,0
0.3534,0.4128,0.9075,0
0.6874,0.7014,0.8704,1
0.9607,0.7362,0.6261,1
0.1283,0.4412,0.1039,0
0.3756,0.4417,0.8466,0
0.163,0.2415,0.4268,0
0.393,0.046,0.7704,0
0.088,0.8367,0.915,0
0.9648,0.4843,0.7037,1
0.7835,0.441,0.3201,1
0.8913,0.9391,0.5888,1
0.0935,0.2633,0.7921,0
0.0859,0.9212,0.5021,1
