x1,x2,x3,label
0.2194,0.8217,0.0895,1
0.7345,0.1436,0.9739,0
0.7406,0.2487,0.2675,1
0.524,0.3717,0.8937,0
0.324,0.473,0.8784,0
0.8054,0.3403,0.8602,1
0.1122,0.2856,0.3924,0
0.1244,0.8026,0.1656,0
0.6794,0.2634,0.1935,0
0.2629,0.0256,0.7208,0
0.1688,0.7607,0.5232,0
0.8869,0.8383,0.1984,1
0.5923,0.8924,0.4506,1
0.2371,0.8881,0.1972,1
0.4398,0.2278,0.0589,0
0.9414,0.4942,0.9184,1
0.7361,0.3594,0.0528,1
0.6255,0.9181,0.9208,1
0.9594,0.6977,0.5464,1
0.1797,0.1227,0.0098,0
0.2334,0.2241,0.6893,0
0.8349,0.14,0.1332,1
0.0252,0.8078,0.1491,0
0.0528,0.8077,0.6074,0
0.3596,0.7103,0.4351,1
0.5841,0.8188,0.3841,1
0.066,0.7004,0.4704,0
0.9586,0.1335,0.8457,1
0.7806,0.8645,0.7859,1
0.1554,0.0377,0.819,0
0.2172,0.4684,0.3478,0
0.2245,0.9751,0.673,1
0.1946,0.3368,0.0327,0
0.2048,0.0439,0.7512,0
0.2211,0.0645,0.3723,0
0.9859,0.1858,0.8528,1
0.1589,0.9004,0.1948,1
0.0376,0.3499,0.7649,0
0.6442,0.9653,0.1877,1
0.2527,0.5708,0.1952,0
0.6824,0.423,0.5812,1
0.0562,0.3443,0.4245,0
0.1622,0.8709,0.6957,1
0.8416,0.4353,0.1631,1
0.7678,0.4234,0.8522,1
0.5482,0.0051,0.772,0
0.6085,0.6281,0.7206,1
0.4601,0.2845,0.9701,0
0.7048,0.3096,0.8909,1
0.9357,0.4785,0.7357,1
0.7406,0.5159,0.2495,1
0.2506,0.5891,0.5325,0
0.1765,0.1237,0.1309,0
0.3432,0.146,0.0616,0
0.0688,0.5065,0.9073,0
0.2874,0.3043,0.471,0
0.2207,0.8224,0.3781,1
0.9407,0.0447,0.8783,1
0.3491,0.6678,0.4056,1
0.2257,0.7469,0.6467,1
0.1171,0.2101,0.8376,0
0.3255,0.5777,0.9397,0
0.366,0.1591,0.8287,0
0.6997,0.3018,0.6034,1
0.3925,0.6652,0.0942,1
0.6415,0.8604,0.6281,1
0.7607,0.77,0.1884,1
0.8855,0.97,0.425,1
0.9502,0.1885,0.6069,1
0.2449,0.2794,0.9067,0
0.7061,0.2925,0.2046,1
0.8708,0.2057,0.1984,1
0.6393,0.2651,0.9307,0
0.0628,0.8482,0.4617,0
0.955,0.7537,0.5116,1
0.4353,0.0532,0.7098,0
0.9403,0.6765,0.5197,1
0.6404,0.3205,0.536,1
0.7031,0.071,0.8351,0
0.765,0.9945,0.8281,1
