time,value
1,99.73
2,104.76
3,108.81
4,114.25
5,112.37
6,110.8
7,108.9
8,98.14
9,112.6
10,126.87
11,127.92
12,128.26
13,120.51
14,130.1
15,119.46
16,127.33
17,127.82
18,132.03
19,124.99
20,140.44
21,141.39
22,141.82
23,132.34
24,140.39
25,138.09
26,153.7
27,164.5
28,138.23
29,163.57
30,155.61
31,153.75
32,156.7
33,156.93
34,158.5
35,160.63
36,168.56
37,166.68
38,165.13
39,172.41
40,156.8
41,165.67
42,169.5
43,186.48
44,160.83
45,183.63
46,182.58
47,196.23
48,201.07
49,178.38
50,191.06
51,206.4
52,200.01
53,199.64
54,188.25
55,200.5
56,205.89
57,199.26
58,194.3
59,210.14
60,203.18
