time,value
1,106.5
2,114.85
3,103.13
4,107.81
5,113.7
6,120.52
7,109.6
8,113.41
9,127.29
10,127.31
11,122.94
12,128.04
13,139.89
14,118.51
15,138.88
16,128.59
17,129.21
18,143.94
19,135.34
20,133.08
21,133.36
22,119.49
23,139.61
24,147.17
25,138.3
26,155.89
27,147.46
28,151.03
29,157.65
30,168.66
31,171.73
32,160.21
33,165.1
34,158.04
35,179.09
36,172.25
37,169.17
38,164.58
39,174.59
40,169.84
41,182.59
42,172.37
43,168.46
44,168.96
45,173.27
46,182.85
47,179.46
48,183.79
49,191.59
50,186.19
51,180.59
52,198.82
53,178.27
54,200.29
55,206.9
56,200.03
57,204.38
58,206.54
59,195.43
60,209.04
