x1,x2,x3
47.72,26.48,81.16
52.72,20.74,78.52
63.79,34.12,59.72
47.26,30.28,73.48
38.11,33.57,78.82
44.71,23.51,69.51
44.36,33.28,64.14
61.1,37.73,66.38
54.86,34.22,67.48
49.34,30.46,78.32
65.03,36.89,56.74
61.57,39.02,85.19
44.93,27.73,65.68
38.42,33.13,66.05
49.05,32.95,61.74
53.42,31.6,71.26
51.27,30.33,68.19
38.35,37.95,46.24
55.93,32.84,74.0
42.88,36.52,83.3
48.19,36.79,80.1
50.08,24.35,78.62
59.48,25.82,79.89
57.63,24.59,49.48
69.2,29.67,67.26
47.86,37.48,56.96
40.0,41.55,56.4
43.4,26.23,79.04
44.48,31.82,60.34
53.38,30.52,61.17
53.64,28.27,72.81
53.17,24.73,60.64
46.51,32.51,79.7
46.46,23.56,79.06
56.14,21.17,68.92
67.43,33.54,63.97
50.41,27.57,48.5
44.28,24.06,74.97
35.14,33.49,68.72
48.02,31.57,69.46
44.78,22.21,82.39
46.05,19.28,60.89
49.66,25.67,56.22
44.05,29.28,74.26
46.12,29.28,70.93
54.88,19.2,68.1
45.66,29.01,67.47
50.44,35.21,63.37
52.19,31.7,53.89
66.54,34.36,74.48
64.73,30.11,56.96
49.6,31.36,80.05
42.68,23.58,54.97
60.19,25.63,61.65
46.91,33.49,66.35
43.99,28.32,77.55
52.02,33.7,76.1
58.85,31.1,70.32
38.13,30.38,62.01
60.52,26.72,59.64
47.81,30.81,70.12
49.32,21.83,75.14
48.49,32.53,73.66
42.54,30.65,61.31
42.96,30.09,66.25
37.73,25.41,84.54
53.95,32.02,71.59
46.2,30.48,71.7
62.21,36.54,61.61
48.09,18.12,66.83
49.45,29.58,66.56
45.67,21.84,83.04
50.48,29.34,63.73
46.32,32.29,65.33
52.46,33.27,71.02
46.69,32.26,60.92
47.61,14.88,69.69
40.42,24.01,92.04
52.39,28.21,72.74
52.33,31.63,66.32
52.64,28.13,73.8
60.93,24.67,57.23
58.33,33.7,92.72
36.9,30.85,61.38
39.58,25.13,76.98
46.72,29.98,56.61
55.6,37.13,80.56
44.31,29.39,61.28
46.26,38.28,77.32
44.32,31.35,47.79
42.79,33.24,80.38
54.1,23.57,78.59
60.2,38.54,77.34
45.94,28.92,57.1
49.46,44.91,73.67
53.88,27.39,66.82
51.86,33.28,65.14
48.83,30.79,92.22
37.5,26.94,52.02
49.17,34.08,60.97
51.55,36.79,75.51
62.43,30.68,80.88
52.52,35.45,75.9
55.18,35.05,64.4
32.48,28.59,68.83
49.97,30.02,89.4
39.14,38.04,62.68
50.74,30.31,64.35
60.9,32.93,76.77
56.17,33.4,70.22
32.6,29.67,64.56
49.21,30.05,75.12
46.45,30.55,77.48
46.07,37.61,68.48
51.76,27.77,77.24
60.21,38.33,62.56
59.51,36.14,66.9
49.03,28.04,50.55
44.48,36.74,66.73
48.38,36.33,69.51
