x1,x2,x3,label
0.665,0.4328,0.5691,1
0.2757,0.4613,0.8646,0
0.4492,0.9554,0.5198,1
0.5355,0.0802,0.7905,0
0.377,0.7442,0.2262,1
0.4321,0.162,0.4187,0
0.2186,0.9779,0.5385,1
0.5362,0.2293,0.5758,0
0.4368,0.5466,0.4232,1
0.4856,0.3904,0.1198,0
0.4718,0.8302,0.3972,1
0.1516,0.2208,0.5715,0
0.1178,0.7568,0.1502,0
0.4224,0.3833,0.8123,0
0.3216,0.2955,0.6354,0
0.2802,0.3672,0.7138,0
0.6216,0.1546,0.3651,0
0.1722,0.9729,0.1684,1
0.0163,0.5019,0.6073,0
0.7929,0.0333,0.383,0
0.0911,0.7565,0.445,0
0.1921,0.9182,0.6579,1
0.618,0.4002,0.3121,1
0.5999,0.0414,0.9724,0
0.3804,0.3466,0.8949,0
0.8192,0.5079,0.2268,1
0.0878,0.7447,0.1649,0
0.2104,0.653,0.4456,0
0.3679,0.217,0.5176,0
0.5843,0.8267,0.6131,1
0.1443,0.6978,0.591,0
0.3509,0.8113,0.8153,1
0.412,0.5623,0.6659,1
0.199,0.8226,0.9512,1
0.8583,0.8111,0.1946,1
0.1151,0.6831,0.9531,0
0.7607,0.3168,0.6303,1
0.2024,0.1457,0.5818,0
0.6783,0.9422,0.6222,1
0.8208,0.3135,0.2865,1
0.7423,0.2735,0.594,1
0.6812,0.031,0.4307,0
0.3383,0.084,0.1107,0
0.0434,0.5857,0.5317,0
0.8673,0.8512,0.7534,1
0.491,0.7768,0.1181,1
0.7876,0.51,0.4676,1
0.5,0.945,0.9513,1
0.4705,0.0198,0.0855,0
0.4012,0.3559,0.773,0
0.731,0.8844,0.7232,1
0.7698,0.5461,0.9882,1
0.0954,0.6639,0.5592,0
0.0722,0.356,0.6823,0
0.6661,0.6178,0.4629,1
0.6395,0.2277,0.6685,0
0.8391,0.8587,0.8576,1
0.9228,0.984,0.8793,1
0.0358,0.8673,0.14,0
0.8101,0.6771,0.4642,1
0.7018,0.5077,0.9056,1
0.1323,0.8719,0.4369,1
0.7359,0.5489,0.5,1
0.217,0.1824,0.7061,0
0.2268,0.9136,0.1762,1
0.7102,0.2594,0.5838,1
0.5501,0.3912,0.2986,0
0.9891,0.3643,0.1327,1
0.3713,0.3747,0.7032,0
0.4705,0.2486,0.4612,0
0.8033,0.8478,0.7845,1
0.8367,0.6905,0.1009,1
0.7474,0.0862,0.8353,0
0.3745,0.2216,0.7372,0
0.0492,0.8446,0.1773,0
0.7681,0.6801,0.2096,1
0.8049,0.1571,0.4128,1
0.0269,0.7682,0.1745,0
0.9008,0.2746,0.5427,1
0.7802,0.7841,0.7521,1
