x1,x2,x3,label
0.321,0.148,0.5375,0
0.588,0.6642,0.0289,1
0.1028,0.9586,0.88,1
0.6623,0.3858,0.8665,1
0.0085,0.4399,0.4751,0
0.3564,0.8785,0.1172,1
0.4633,0.8026,0.7145,1
0.6492,0.3162,0.2187,1
0.5944,0.5006,0.6803,1
0.3193,0.6283,0.5955,0
0.796,0.68,0.4638,1
0.316,0.7519,0.7201,1
0.15,0.6847,0.3103,0
0.8327,0.1655,0.9077,1
0.9206,0.5702,0.3705,1
0.8065,0.4019,0.4875,1
0.2504,0.5161,0.9404,0
0.6095,0.4725,0.2556,1
0.7374,0.0096,0.778,0
0.2328,0.7855,0.225,1
0.866,0.9703,0.0741,1
0.2554,0.7476,0.3188,1
0.8579,0.7736,0.7082,1
0.102,0.91,0.8662,1
0.1809,0.5283,0.0073,0
0.1967,0.7509,0.6314,0
0.1775,0.0696,0.9079,0
0.8465,0.6409,0.638,1
0.1814,0.1457,0.7166,0
0.5505,0.3443,0.5923,0
0.0705,0.0522,0.6537,0
0.828,0.9686,0.7235,1
0.9718,0.997,0.3869,1
0.0405,0.9205,0.7268,1
0.0393,0.3875,0.6968,0
0.4847,0.0668,0.2605,0
0.1259,0.0553,0.712,0
0.5369,0.4585,0.1801,1
0.5494,0.1714,0.0624,0
0.157,0.8408,0.5127,1
0.6442,0.2305,0.7746,0
0.1511,0.1133,0.6504,0
0.2412,0.9925,0.996,1
0.8821,0.4678,0.3236,1
0.2446,0.7177,0.5407,1
0.6437,0.8382,0.2027,1
0.1165,0.889,0.1452,1
0.6281,0.8179,0.0695,1
0.4591,0.6167,0.4571,1
0.2621,0.0263,0.1024,0
0.4992,0.9875,0.8752,1
0.0411,0.5681,0.8403,0
0.7863,0.8289,0.8946,1
0.0566,0.1378,0.445,0
0.7477,0.0636,0.2403,0
0.7435,0.6429,0.2043,1
0.3401,0.9655,0.1983,1
0.7644,0.4128,0.0903,1
0.1097,0.7327,0.0595,0
0.6167,0.61,0.6018,1
0.9118,0.525,0.1639,1
0.992,0.5829,0.5097,1
0.5577,0.4211,0.6176,1
0.4517,0.9265,0.6403,1
0.9292,0.5973,0.1203,1
0.9692,0.9268,0.566,1
0.2672,0.6574,0.8119,0
0.6392,0.1994,0.3067,0
0.9039,0.887,0.1602,1
0.7838,0.6269,0.6221,1
0.09,0.8604,0.3619,1
0.4418,0.9215,0.8819,1
0.5557,0.2741,0.2594,0
0.659,0.8771,0.1546,1
0.0741,0.7998,0.0328,0
0.4575,0.8324,0.3741,1
0.263,0.1063,0.3145,0
0.3939,0.5955,0.4667,1
0.3835,0.6987,0.9258,1
0.658,0.3305,0.8187,1
