x1,x2,x3,label
0.0536,0.0204,0.1333,0
0.8658,0.5522,0.6215,1
0.3556,0.8376,0.6939,1
0.9413,0.8862,0.1676,1
0.5809,0.17,0.4882,0
0.6524,0.3918,0.9983,1
0.3771,0.4833,0.3116,0
0.9114,0.3903,0.9057,1
0.123,0.3665,0.4773,0
0.1694,0.3841,0.5318,0
0.1588,0.4408,0.0583,0
0.0761,0.5368,0.3178,0
0.6607,0.0949,0.3151,0
0.852,0.8006,0.7989,1
0.1008,0.9134,0.5892,1
0.3636,0.2989,0.9922,0
0.3193,0.3437,0.7342,0
0.6436,0.6738,0.9166,1
0.8633,0.8145,0.5517,1
0.7611,0.2941,0.8934,1
0.4243,0.6689,0.0384,1
0.7468,0.0014,0.3819,0
0.6881,0.2513,0.5587,0
0.1869,0.8691,0.8702,1
0.8902,0.021,0.3269,0
0.8135,0.0691,0.1996,0
0.916,0.4352,0.9131,1
0.768,0.0557,0.3891,0
0.8771,0.4489,0.7217,1
0.4781,0.167,0.7441,0
0.3634,0.4668,0.9985,0
0.4937,0.4679,0.6735,1
0.6123,0.4625,0.1871,1
0.7065,0.9142,0.7589,1
0.9384,0.2239,0.0206,1
0.4554,0.894,0.4593,1
0.9909,0.9534,0.9154,1
0.4792,0.0958,0.7516,0
0.8063,0.7442,0.3209,1
0.4979,0.8727,0.8408,1
0.9136,0.1935,0.7989,1
0.1631,0.636,0.4359,0
0.5534,0.8669,0.8655,1
0.5923,0.932,0.7126,1
0.807,0.5868,0.9754,1
0.5402,0.3589,0.4875,0
0.1531,0.0977,0.2284,0
0.847,0.2771,0.0861,1
0.5868,0.9451,0.5987,1
0.7771,0.2802,0.5185,1
0.373,0.0107,0.1014,0
0.1929,0.8868,0.24,1
0.2537,0.2301,0.0414,0
0.8608,0.9894,0.2023,1
0.9989,0.2206,0.068,1
0.9348,0.6659,0.2919,1
0.1431,0.3945,0.907,0
0.771,0.2092,0.2334,1
0.8414,0.6405,0.9842,1
0.7508,0.6797,0.1585,1
0.9386,0.844,0.6168,1
0.8408,0.9947,0.3657,1
0.9027,0.1123,0.0631,1
0.164,0.0759,0.9094,0
0.1666,0.6924,0.7253,0
0.5655,0.1601,0.2097,0
0.8967,0.1939,0.5068,1
0.5294,0.079,0.0044,0
0.2945,0.8552,0.4209,1
0.7515,0.1154,0.0352,0
0.2795,0.9436,0.0515,1
0.9531,0.714,0.1704,1
0.8493,0.0503,0.8458,0
0.8644,0.8681,0.5964,1
0.6152,0.0741,0.9887,0
0.7907,0.3553,0.22,1
0.2072,0.7239,0.2247,0
0.1137,0.6251,0.5298,0
0.4002,0.4834,0.6095,0
0.5201,0.5254,0.5713,1
