x1,x2,x3,label
0.7791,0.8382,0.2072,1
0.7264,0.6064,0.9627,1
0.3888,0.5013,0.6401,0
0.6429,0.565,0.5252,1
0.4901,0.6714,0.975,1
0.3441,0.1624,0.1319,0
0.9942,0.9571,0.023,1
0.3688,0.3794,0.1569,0
0.5926,0.3641,0.4866,1
0.527,0.6423,0.5821,1
0.2713,0.249,0.3805,0
0.0803,0.6828,0.196,0
0.899,0.4379,0.1104,1
0.4735,0.6222,0.6966,1
0.1376,0.968,0.2073,1
0.566,0.9481,0.3682,1
0.2703,0.8281,0.3452,1
0.6436,0.8432,0.9336,1
0.5743,0.9509,0.187,1
0.3235,0.0929,0.3103,0
0.0063,0.8726,0.6742,0
0.1758,0.7628,0.0727,0
0.3856,0.2734,0.8504,0
0.3021,0.2311,0.83,0
0.8499,0.6014,0.1731,1
0.6749,0.5353,0.1778,1
0.247,0.4213,0.0104,0
0.6832,0.9838,0.587,1
0.7539,0.3199,0.527,1
0.1748,0.8957,0.8885,1
0.2427,0.583,0.1574,0
0.2918,0.6756,0.2285,1
0.2619,0.7404,0.2967,1
0.485,0.1422,0.4565,0
0.1153,0.4259,0.3078,0
0.7104,0.7671,0.015,1
0.4319,0.2234,0.4883,0
0.5452,0.2227,0.2677,0
0.404,0.5754,0.4006,1
0.2603,0.3805,0.9743,0
0.9345,0.9294,0.0442,1
0.3663,0.7878,0.1158,1
0.7122,0.7769,0.2421,1
0.0948,0.3752,0.552,0
0.2307,0.0915,0.6153,0
0.924,0.4919,0.6845,1
0.5693,0.943,0.5591,1
0.5751,0.9983,0.6044,1
0.9434,0.1167,0.2237,1
0.3472,0.3955,0.6912,0
0.124,0.2021,0.712,0
0.4988,0.2936,0.855,0
0.0627,0.5003,0.7982,0
0.5071,0.8277,0.2669,1
0.2684,0.0842,0.4025,0
0.5202,0.0267,0.7785,0
0.8004,0.6839,0.0999,1
0.9202,0.8816,0.0878,1
0.0752,0.4337,0.6555,0
0.1963,0.4688,0.2456,0
0.5436,0.8478,0.6106,1
0.3219,0.4661,0.9984,0
0.8101,0.4178,0.8258,1
0.715,0.6897,0.9073,1
0.9262,0.0156,0.5167,0
0.018,0.6958,0.0358,0
0.57,0.6316,0.3688,1
0.4327,0.5219,0.3989,1
0.5041,0.9978,0.1114,1
0.6166,0.4927,0.5335,1
0.1349,0.3775,0.9518,0
0.6135,0.5613,0.994,1
0.1466,0.4885,0.9284,0
0.6343,0.0797,0.2758,0
0.6773,0.2203,0.8222,0
0.691,0.9795,0.1971,1
0.1465,0.5381,0.7607,0
0.1957,0.7346,0.5293,0
0.9489,0.3955,0.1443,1
0.3702,0.1275,0.2889,0
