time,value
1,96.69
2,109.55
3,113.38
4,119.88
5,111.33
6,106.69
7,111.16
8,118.95
9,92.94
10,133.19
11,121.99
12,118.16
13,139.19
14,138.4
15,137.39
16,131.7
17,143.46
18,140.99
19,139.61
20,135.81
21,118.55
22,136.35
23,123.54
24,147.19
25,133.47
26,139.2
27,139.88
28,155.33
29,158.93
30,156.82
31,166.29
32,150.44
33,165.55
34,154.69
35,166.74
36,155.01
37,169.67
38,174.64
39,177.59
40,163.22
41,169.38
42,180.83
43,191.76
44,176.02
45,172.07
46,168.87
47,192.31
48,190.64
49,181.29
50,188.54
51,191.94
52,202.37
53,183.66
54,199.91
55,196.6
56,203.72
57,205.6
58,207.81
59,209.29
60,204.44
