x1,x2,x3,label
0.9833,0.8104,0.477,1
0.0686,0.5862,0.2495,0
0.2982,0.6584,0.0293,1
0.1286,0.3513,0.358,0
0.4676,0.0138,0.165,0
0.97,0.6556,0.0928,1
0.5764,0.4543,0.7659,1
0.9061,0.4545,0.5096,1
0.94,0.7501,0.1232,1
0.495,0.4448,0.7674,0
0.8794,0.1051,0.3295,1
0.089,0.9703,0.974,1
0.6173,0.4054,0.2965,1
0.1814,0.2354,0.1253,0
0.9387,0.0755,0.6656,1
0.7115,0.9426,0.5642,1
0.9538,0.4511,0.7696,1
0.9084,0.8183,0.9955,1
0.9078,0.2756,0.652,1
0.8246,0.2862,0.3421,1
0.0783,0.2224,0.3576,0
0.6619,0.3824,0.3936,1
0.1089,0.2348,0.2294,0
0.4932,0.9648,0.3852,1
0.1395,0.084,0.1976,0
0.0252,0.915,0.3598,0
0.7354,0.2691,0.376,1
0.2946,0.0959,0.9179,0
0.6383,0.4368,0.4423,1
0.0984,0.6912,0.8757,0
0.2913,0.7774,0.3373,1
0.3348,0.1768,0.4437,0
0.1768,0.0491,0.8266,0
0.2982,0.1729,0.5424,0
0.4965,0.9436,0.1191,1
0.021,0.3161,0.6142,0
0.137,0.0054,0.1796,0
0.0046,0.9471,0.5848,1
0.7485,0.3845,0.5092,1
0.3187,0.2723,0.7469,0
0.577,0.7364,0.3553,1
0.9862,0.2929,0.3345,1
0.9084,0.7388,0.4922,1
0.6855,0.2966,0.3388,1
0.9423,0.5301,0.5297,1
0.9608,0.0054,0.6752,1
0.5537,0.289,0.7478,0
0.5716,0.4535,0.0415,1
0.1232,0.6581,0.4456,0
0.9232,0.8861,0.8392,1
0.2379,0.4806,0.3407,0
0.1319,0.9989,0.8351,1
0.5287,0.2531,0.3513,0
0.3213,0.5796,0.6678,0
0.0327,0.6037,0.6227,0
0.5693,0.1799,0.9288,0
0.0194,0.3083,0.4928,0
0.3611,0.0471,0.6873,0
0.5054,0.3961,0.1146,0
0.4771,0.1908,0.4689,0
0.6074,0.0285,0.2761,0
0.8215,0.7143,0.573,1
0.2871,0.1147,0.406,0
0.3425,0.8414,0.6643,1
0.1752,0.8412,0.5448,1
0.7698,0.5119,0.4713,1
0.881,0.0181,0.4153,0
0.4881,0.2378,0.1577,0
0.6114,0.0189,0.3818,0
0.637,0.6426,0.4069,1
0.6054,0.3103,0.7373,0
0.5608,0.8307,0.7177,1
0.3677,0.047,0.6174,0
0.2011,0.295,0.4896,0
0.4889,0.1059,0.3084,0
0.9678,0.4906,0.7847,1
0.6119,0.8722,0.5411,1
0.1313,0.393,0.5357,0
0.6564,0.0727,0.3597,0
0.3345,0.3128,0.5348,0
