x1,x2,x3,label
0.1775,0.7545,0.973,0
0.3549,0.526,0.9538,0
0.1822,0.84,0.8684,1
0.7031,0.866,0.6351,1
0.1612,0.4789,0.0348,0
0.9698,0.5017,0.4366,1
0.7447,0.0452,0.1898,0
0.0518,0.6687,0.2609,0
0.5944,0.3664,0.1576,1
0.8591,0.1949,0.249,1
0.1108,0.7921,0.7947,0
0.5293,0.6042,0.8556,1
0.5711,0.273,0.7134,0
0.5994,0.5349,0.9385,1
0.6313,0.6745,0.5494,1
0.5935,0.8618,0.0554,1
0.1659,0.7374,0.8711,0
0.5196,0.3377,0.8355,0
0.9533,0.9331,0.1486,1
0.083,0.4449,0.3764,0
0.4055,0.2046,0.4678,0
0.915,0.1781,0.8594,1
0.559,0.3793,0.9014,0
0.6207,0.4388,0.8493,1
0.4346,0.5866,0.1991,1
0.7725,0.7623,0.4731,1
0.5044,0.0506,0.8275,0
0.7813,0.9168,0.7298,1
0.0456,0.6194,0.3825,0
0.1418,0.6927,0.6254,0
0.7485,0.9056,0.0127,1
0.9435,0.7821,0.0358,1
0.4947,0.4452,0.0183,0
0.769,0.1563,0.9472,0
0.7218,0.7904,0.8716,1
0.6845,0.0647,0.5092,0
0.2613,0.5542,0.0571,0
0.4915,0.4848,0.0696,1
0.2646,0.5619,0.3284,0
0.9007,0.6707,0.0506,1
0.4196,0.7741,0.7499,1
0.1072,0.159,0.153,0
0.9982,0.4205,0.2002,1
0.1327,0.6397,0.5082,0
0.7145,0.3806,0.3618,1
0.5907,0.8112,0.6896,1
0.9625,0.365,0.7611,1
0.1977,0.3152,0.1674,0
0.1919,0.4272,0.6658,0
0.8688,0.886,0.1506,1
0.1646,0.8651,0.1245,1
0.2904,0.8348,0.2171,1
0.6689,0.3459,0.0342,1
0.7426,0.9446,0.5563,1
0.4584,0.5479,0.3904,1
0.3558,0.0677,0.0133,0
0.6126,0.5576,0.6614,1
0.525,0.444,0.0537,1
0.5711,0.9781,0.6598,1
0.1579,0.0316,0.8752,0
0.0419,0.0365,0.9671,0
0.6433,0.8684,0.9547,1
0.2057,0.1588,0.9379,0
0.4941,0.5197,0.6868,1
0.0464,0.4773,0.0181,0
0.687,0.2871,0.2966,1
0.452,0.4572,0.8926,0
0.6272,0.9365,0.6412,1
0.7687,0.5445,0.5042,1
0.0779,0.3341,0.5444,0
0.8563,0.48,0.8185,1
0.2261,0.0369,0.5661,0
0.7131,0.3777,0.6644,1
0.9908,0.2992,0.1032,1
0.0456,0.9336,0.518,1
0.094,0.86,0.5606,1
0.6523,0.5456,0.481,1
0.9456,0.1391,0.451,1
0.7984,0.6928,0.74,1
0.8113,0.4065,0.9741,1
