x1,x2,x3,label
0.1604,0.9814,0.0826,1
0.3255,0.3839,0.9694,0
0.3551,0.3409,0.2946,0
0.0011,0.7786,0.5577,0
0.1465,0.8091,0.2854,1
0.9565,0.7666,0.9481,1
0.6389,0.8629,0.1558,1
0.0287,0.2504,0.9037,0
0.9219,0.0232,0.9347,0
0.3875,0.5734,0.5723,1
0.2189,0.8018,0.677,1
0.7641,0.5737,0.5345,1
0.61,0.7899,0.7004,1
0.3498,0.6607,0.1597,1
0.9042,0.3428,0.7811,1
0.6395,0.0291,0.2614,0
0.9529,0.799,0.5536,1
0.0286,0.3448,0.6018,0
0.6046,0.6185,0.006,1
0.7004,0.8619,0.5807,1
0.386,0.642,0.6255,1
0.9792,0.2801,0.6959,1
0.3119,0.2739,0.9835,0
0.2071,0.3868,0.2124,0
0.2344,0.1054,0.5738,0
0.7249,0.0591,0.5233,0
0.2865,0.9499,0.5826,1
0.7828,0.9321,0.2064,1
0.0729,0.4222,0.8153,0
0.9531,0.8098,0.3937,1
0.663,0.3266,0.4963,1
0.3375,0.3944,0.0907,0
0.573,0.1185,0.0163,0
0.3598,0.382,0.3271,0
0.571,0.8173,0.1138,1
0.7672,0.3381,0.3908,1
0.451,0.1839,0.4956,0
0.8117,0.0683,0.0958,0
0.4017,0.6316,0.0869,1
0.8801,0.3108,0.2651,1
0.9131,0.2066,0.2411,1
0.9733,0.8163,0.6641,1
0.748,0.156,0.1291,0
0.8462,0.3767,0.3712,1
0.2681,0.0854,0.9891,0
0.0215,0.3816,0.0836,0
0.721,0.6085,0.2014,1
0.6732,0.6265,0.3379,1
0.0388,0.8307,0.9984,0
0.0106,0.2923,0.6559,0
0.813,0.8039,0.9616,1
0.9308,0.6704,0.312,1
0.7594,0.0839,0.7735,0
0.9808,0.0916,0.9843,1
0.2271,0.0709,0.2399,0
0.6287,0.8877,0.6749,1
0.5086,0.5603,0.273,1
0.2976,0.6235,0.6302,0
0.3179,0.6508,0.6256,1
0.9063,0.2911,0.395,1
0.9702,0.7303,0.6238,1
0.1766,0.045,0.2484,0
0.8485,0.0692,0.2926,0
0.1739,0.4734,0.5755,0
0.1235,0.4061,0.7463,0
0.2327,0.1748,0.3561,0
0.6653,0.097,0.693,0
0.9061,0.1224,0.3289,1
0.5798,0.1783,0.8503,0
0.3976,0.4709,0.3784,0
0.0835,0.7011,0.6754,0
0.8659,0.9027,0.207,1
0.4481,0.3954,0.4219,0
0.1059,0.5313,0.9704,0
0.2973,0.7501,0.9417,1
0.5318,0.2072,0.3438,0
0.7984,0.0627,0.6056,0
0.9439,0.4491,0.4832,1
0.8597,0.1234,0.4032,1
0.7355,0.0101,0.9848,0
