x1,x2,x3,label
0.8719,0.1716,0.1666,1
0.5967,0.0292,0.8164,0
0.8865,0.1176,0.2771,1
0.8639,0.8763,0.9392,1
0.9381,0.3903,0.6692,1
0.8629,0.6267,0.5418,1
0.5645,0.1288,0.1729,0
0.1619,0.8553,0.5923,1
0.2147,0.372,0.9162,0
0.6747,0.7653,0.8838,1
0.4506,0.8779,0.3573,1
0.5483,0.7113,0.4105,1
0.3562,0.8165,0.2204,1
0.8438,0.2123,0.9993,1
0.9181,0.5835,0.7535,1
0.8698,0.3314,0.7644,1
0.6381,0.6334,0.5883,1
0.2989,0.2506,0.9909,0
0.0948,0.6969,0.6204,0
0.4319,0.3577,0.9969,0
0.776,0.0029,0.1393,0
0.9322,0.0611,0.2508,1
0.0168,0.5408,0.8493,0
0.6617,0.8905,0.4516,1
0.4477,0.5112,0.8951,1
0.1911,0.4411,0.4831,0
0.5782,0.4587,0.69,1
0.3444,0.1582,0.2144,0
0.443,0.3043,0.9775,0
0.5856,0.7466,0.4952,1
0.768,0.5024,0.1479,1
0.2215,0.2521,0.9261,0
0.875,0.7146,0.6793,1
0.6657,0.7364,0.1536,1
0.1001,0.1592,0.0771,0
0.6067,0.3595,0.9944,1
0.6581,0.216,0.9729,0
0.2951,0.2192,0.6816,0
0.4717,0.2615,0.4178,0
0.0761,0.7355,0.2892,0
0.7223,0.5437,0.7683,1
0.7207,0.884,0.9823,1
0.5927,0.8574,0.6989,1
0.4835,0.574,0.0904,1
0.9232,0.3233,0.1437,1
0.2351,0.4138,0.9325,0
0.0126,0.8249,0.3911,0
0.969,0.7549,0.9422,1
0.7384,0.6558,0.7333,1
0.7611,0.2634,0.4122,1
0.8663,0.6648,0.3425,1
0.054,0.2295,0.8475,0
0.4014,0.4405,0.4946,0
0.0076,0.7839,0.8224,0
0.2707,0.7474,0.0368,1
0.1082,0.1497,0.2414,0
0.9975,0.011,0.456,1
0.2478,0.397,0.5846,0
0.7022,0.6708,0.7403,1
0.6753,0.8578,0.2003,1
0.3934,0.887,0.7084,1
0.6213,0.5839,0.1045,1
0.0187,0.6482,0.8855,0
0.4505,0.3007,0.7197,0
0.0942,0.6305,0.5593,0
0.8362,0.162,0.9927,1
0.2955,0.0421,0.4276,0
0.8612,0.2459,0.6797,1
0.0194,0.304,0.4036,0
0.1771,0.5359,0.0977,0
0.4943,0.1356,0.2684,0
0.9694,0.3501,0.5405,1
0.1974,0.8649,0.6336,1
0.1669,0.896,0.1705,1
0.9956,0.594,0.1165,1
0.2194,0.8113,0.9334,1
0.4027,0.7248,0.2529,1
0.1174,0.9452,0.4088,1
0.4008,0.4357,0.4233,0
0.8481,0.0645,0.9754,0
