x1,x2,x3,label
0.522,0.1463,0.4336,0
0.3571,0.2529,0.2622,0
0.749,0.4552,0.4893,1
0.0341,0.0451,0.5969,0
0.0506,0.338,0.2029,0
0.4467,0.4464,0.4022,0
0.5707,0.6128,0.7337,1
0.1381,0.4439,0.604,0
0.4247,0.9556,0.0486,1
0.3428,0.3862,0.0147,0
0.4344,0.9911,0.1599,1
0.2613,0.0057,0.5107,0
0.5535,0.7774,0.6375,1
0.199,0.4261,0.3267,0
0.2096,0.2389,0.5372,0
0.6519,0.1051,0.3854,0
0.3177,0.3036,0.0075,0
0.7445,0.7983,0.3879,1
0.22,0.109,0.4575,0
0.0365,0.509,0.9658,0
0.3024,0.3594,0.866,0
0.9847,0.8441,0.0391,1
0.6805,0.2281,0.5443,0
0.6064,0.8906,0.0739,1
0.5329,0.4119,0.2775,0
0.2639,0.4055,0.4725,0
0.6139,0.5855,0.8499,1
0.8572,0.8213,0.5979,1
0.4909,0.218,0.7419,0
0.5288,0.2465,0.335,0
0.4782,0.7611,0.7229,1
0.3194,0.9698,0.2223,1
0.5794,0.6367,0.0211,1
0.2871,0.9465,0.7757,1
0.8726,0.5973,0.214,1
0.2738,0.4077,0.2233,0
0.8974,0.4673,0.5124,1
0.6632,0.4258,0.9127,1
0.1844,0.1233,0.4069,0
0.7455,0.001,0.6863,0
0.4684,0.3198,0.4119,0
0.3915,0.9972,0.056,1
0.7414,0.9277,0.8656,1
0.9299,0.6266,0.9478,1
0.5973,0.2149,0.3043,0
0.51,0.1345,0.7318,0
0.2233,0.3565,0.469,0
0.0188,0.9291,0.5487,0
0.8685,0.4723,0.2227,1
0.0587,0.4806,0.5727,0
0.0537,0.7763,0.8316,0
0.641,0.7693,0.5222,1
0.8008,0.6365,0.759,1
0.6542,0.8258,0.0949,1
0.1459,0.8853,0.5064,1
0.4212,0.4331,0.1569,0
0.01,0.7293,0.181,0
0.1677,0.5377,0.468,0
0.2468,0.9873,0.6069,1
0.001,0.2635,0.1913,0
0.8719,0.2409,0.603,1
0.1616,0.2182,0.9378,0
0.8126,0.0362,0.0843,0
0.6531,0.6788,0.2848,1
0.24,0.5217,0.3106,0
0.934,0.6167,0.2028,1
0.8455,0.6419,0.6437,1
0.7779,0.2796,0.6984,1
0.2877,0.4983,0.357,0
0.5741,0.2077,0.8312,0
0.8467,0.3489,0.3649,1
0.468,0.2885,0.0778,0
0.1442,0.0896,0.6997,0
0.7792,0.4003,0.7553,1
0.3086,0.491,0.6726,0
0.189,0.2058,0.9483,0
0.3301,0.7328,0.3782,1
0.977,0.4819,0.1021,1
0.6572,0.3971,0.1149,1
0.6699,0.6528,0.5631,1
