x1,x2,x3,label
0.1513,0.8506,0.4619,0
0.5262,0.7203,0.1044,1
0.3591,0.475,0.3082,0
0.1027,0.0316,0.194,0
0.1184,0.7163,0.9396,0
0.1905,0.6949,0.1079,0
0.526,0.088,0.97,0
0.7813,0.4956,0.1038,0
0.7693,0.245,0.3076,1
0.9627,0.3117,0.5998,1
0.7756,0.6804,0.59,1
0.8937,0.145,0.8011,1
0.2006,0.9393,0.0315,0
0.1452,0.0187,0.0032,0
0.3948,0.5788,0.7137,0
0.5627,0.7209,0.5533,1
0.9311,0.0616,0.538,1
0.6412,0.5238,0.0631,0
0.3866,0.3878,0.5639,0
0.7968,0.7118,0.6915,1
0.1772,0.4972,0.618,0
0.5012,0.1866,0.992,0
0.2224,0.3108,0.4161,0
0.0113,0.8961,0.4926,0
0.1669,0.1973,0.2207,0
0.0435,0.679,0.5342,0
0.9351,0.9457,0.0055,1
0.8256,0.0312,0.5813,1
0.661,0.105,0.9889,1
0.8813,0.902,0.3172,1
0.4811,0.1137,0.9393,0
0.9288,0.6793,0.8438,1
0.4864,0.6087,0.9718,1
0.3438,0.4692,0.9969,0
0.1513,0.5484,0.3402,0
0.5829,0.595,0.2806,1
0.1834,0.3287,0.2986,0
0.0585,0.3075,0.5783,0
0.6968,0.0441,0.3561,0
0.1527,0.5377,0.5694,0
0.36,0.4014,0.9827,0
0.8171,0.3414,0.1209,0
0.683,0.7598,0.0169,1
0.1798,0.4896,0.0461,0
0.4187,0.1522,0.7371,0
0.2535,0.1393,0.792,0
0.1401,0.23,0.8371,0
0.1465,0.432,0.7595,0
0.1468,0.5365,0.5952,0
0.0411,0.165,0.6085,0
0.8876,0.396,0.3257,1
0.8469,0.9744,0.8913,1
0.7505,0.1911,0.5642,1
0.9444,0.8408,0.4265,1
0.9898,0.5555,0.5503,1
0.3156,0.8742,0.0127,0
0.9181,0.2226,0.0197,1
0.6205,0.1597,0.9741,1
0.348,0.257,0.1408,0
0.8605,0.1579,0.4701,1
0.8318,0.618,0.3375,1
0.5422,0.3769,0.5484,0
0.0585,0.5333,0.6589,0
0.5988,0.9913,0.703,1
0.9905,0.3779,0.3425,1
0.3748,0.1611,0.3497,0
0.649,0.2726,0.4109,0
0.1255,0.5331,0.3576,0
0.1848,0.7675,0.0179,0
0.0682,0.7143,0.584,0
0.8643,0.4389,0.4883,1
0.3082,0.9499,0.1522,0
0.953,0.8087,0.068,1
0.2101,0.7867,0.7463,0
0.3894,0.7941,0.808,1
0.4388,0.1201,0.2298,0
0.9309,0.217,0.6178,1
0.5716,0.2522,0.2684,0
0.2466,0.3708,0.4203,0
0.5249,0.5617,0.0821,0
0.0357,0.369,0.8777,0
0.4954,0.4711,0.3148,0
0.8696,0.9202,0.272,1
0.714,0.0854,0.6432,0
0.597,0.9297,0.2061,1
0.1321,0.411,0.3959,0
0.865,0.8492,0.0521,1
0.2413,0.0089,0.4789,0
0.0176,0.3477,0.634,0
0.5856,0.3473,0.7705,1
0.665,0.2926,0.8323,1
0.5671,0.9286,0.3724,1
0.4945,0.8415,0.7643,1
0.5137,0.4199,0.1719,0
0.5006,0.2803,0.0327,0
0.3163,0.7334,0.8812,1
0.1137,0.329,0.3339,0
0.5154,0.8692,0.933,1
0.5306,0.1635,0.3575,0
0.3647,0.3059,0.1822,0
0.7612,0.2634,0.4483,0
0.1858,0.7993,0.5165,0
0.5291,0.7856,0.7265,1
0.3228,0.9288,0.4667,0
0.1027,0.9229,0.3262,0
0.2746,0.4581,0.735,0
0.7057,0.0696,0.52,0
0.6669,0.9846,0.3169,1
0.0291,0.8316,0.7629,0
0.672,0.6998,0.115,1
0.3918,0.2216,0.6419,0
0.2283,0.5348,0.3835,0
0.0697,0.2132,0.2218,0
0.1947,0.0382,0.6835,0
0.2737,0.0322,0.09,0
0.3549,0.254,0.1987,0
0.3079,0.6646,0.5805,0
0.0673,0.6265,0.0262,0
0.3475,0.1845,0.8467,0
0.3105,0.2094,0.0873,0
0.6746,0.3994,0.7532,1
0.0711,0.1952,0.0555,0
0.1176,0.5377,0.7497,0
0.5962,0.4586,0.2007,0
0.0764,0.0924,0.4481,0
0.0595,0.4647,0.8264,0
0.3622,0.6668,0.5743,0
0.7692,0.0673,0.1834,0
0.7547,0.272,0.4979,1
0.5673,0.5341,0.1532,0
0.3528,0.5588,0.2362,0
0.2857,0.0453,0.567,0
0.679,0.3155,0.1166,0
0.3006,0.4751,0.0632,0
0.5234,0.1258,0.062,0
0.4567,0.1762,0.7079,0
0.5723,0.3525,0.258,0
0.7679,0.0773,0.4974,0
0.3701,0.5002,0.4629,0
0.2865,0.0448,0.2674,0
0.0315,0.353,0.5962,0
0.2702,0.5488,0.3473,0
