x1,x2,x3,label
0.2973,0.2352,0.1117,0
0.4858,0.54,0.9884,1
0.0767,0.2597,0.6096,0
0.4345,0.5003,0.7097,0
0.9574,0.5829,0.8598,1
0.1677,0.7205,0.0898,0
0.5434,0.6142,0.1742,1
0.8771,0.407,0.308,1
0.613,0.6023,0.8031,1
0.1045,0.9929,0.3963,1
0.6117,0.3966,0.5694,1
0.2896,0.4069,0.5902,0
0.3364,0.4151,0.7258,0
0.6181,0.9555,0.3248,1
0.7062,0.8518,0.4166,1
0.3427,0.414,0.3468,0
0.0945,0.5013,0.6886,0
0.5499,0.1666,0.4126,0
0.3163,0.878,0.6846,1
0.3631,0.0327,0.8159,0
0.3917,0.5728,0.5357,1
0.9857,0.3852,0.7232,1
0.0363,0.6927,0.5926,0
0.5798,0.7157,0.0338,1
0.2701,0.902,0.4827,1
0.74,0.3691,0.6021,1
0.6177,0.5874,0.2619,1
0.2525,0.507,0.5228,0
0.801,0.1703,0.7668,1
0.9798,0.2948,0.3474,1
0.5913,0.6942,0.1719,1
0.4697,0.5923,0.3465,1
0.3059,0.7502,0.3147,1
0.874,0.4145,0.226,1
0.8189,0.9936,0.9395,1
0.9294,0.5656,0.9207,1
0.0784,0.2468,0.6638,0
0.9712,0.8087,0.9771,1
0.2026,0.9138,0.4732,1
0.2493,0.4337,0.0599,0
0.0873,0.148,0.372,0
0.4864,0.6273,0.8539,1
0.8489,0.848,0.7845,1
0.4173,0.7885,0.126,1
0.196,0.5163,0.2133,0
0.0046,0.7366,0.3392,0
0.7521,0.2885,0.1592,1
0.9822,0.227,0.4077,1
0.236,0.3124,0.5836,0
0.2271,0.0854,0.4338,0
0.5653,0.737,0.3712,1
0.9963,0.3255,0.1691,1
0.2083,0.2606,0.6475,0
0.2548,0.9494,0.9897,1
0.1572,0.8481,0.7274,1
0.8977,0.9943,0.0083,1
0.9716,0.6981,0.0486,1
0.43,0.1414,0.0048,0
0.3439,0.0717,0.0157,0
0.2213,0.2859,0.7658,0
0.321,0.564,0.8861,0
0.9075,0.9429,0.5323,1
0.1802,0.3969,0.8854,0
0.2183,0.8635,0.9478,1
0.3861,0.032,0.3541,0
0.79,0.9356,0.3584,1
0.9752,0.5754,0.4539,1
0.7678,0.3624,0.6663,1
0.1315,0.2551,0.137,0
0.0562,0.0703,0.2986,0
0.6397,0.7353,0.2848,1
0.3218,0.5529,0.0089,0
0.3917,0.851,0.0789,1
0.6139,0.5606,0.0834,1
0.0449,0.2499,0.4572,0
0.2846,0.4402,0.7756,0
0.0005,0.9773,0.9916,1
0.3545,0.3504,0.1166,0
0.9428,0.5631,0.1989,1
0.8927,0.6747,0.5212,1
