x1,x2,x3,label
0.5775,0.5607,0.3761,1
0.5584,0.0721,0.781,0
0.5902,0.4412,0.4332,0
0.6408,0.4097,0.287,1
0.5215,0.5895,0.8036,1
0.781,0.9722,0.0813,1
0.5314,0.2969,0.9003,1
0.1413,0.4837,0.0723,0
0.6879,0.8666,0.8742,1
0.6213,0.5993,0.7465,1
0.8124,0.1301,0.8271,1
0.0385,0.6149,0.7678,0
0.3484,0.6698,0.175,0
0.6346,0.6966,0.9856,1
0.2013,0.2883,0.9275,0
0.1403,0.3992,0.4514,0
0.9834,0.1423,0.1141,1
0.4401,0.9145,0.9467,1
0.5726,0.1136,0.1065,0
0.996,0.5494,0.13,1
0.1086,0.0129,0.9833,0
0.0335,0.9169,0.2648,0
0.5236,0.6787,0.0228,0
0.1218,0.3242,0.9718,0
0.7565,0.3899,0.0408,0
0.7033,0.7787,0.0535,1
0.4835,0.5969,0.8098,1
0.8891,0.0655,0.6898,1
0.1371,0.47,0.2939,0
0.4863,0.2016,0.3263,0
0.1941,0.5532,0.6895,0
0.7854,0.5889,0.5606,1
0.6223,0.2851,0.0112,0
0.7293,0.7149,0.713,1
0.7461,0.6629,0.9448,1
0.4252,0.1153,0.8789,0
0.1842,0.6121,0.2233,0
0.6802,0.2212,0.3546,0
0.9397,0.5729,0.9995,1
0.2772,0.0026,0.6313,0
0.2655,0.0825,0.6833,0
0.5787,0.3142,0.0128,0
0.3771,0.9269,0.0071,0
0.5388,0.8906,0.468,1
0.2565,0.4119,0.9582,0
0.1912,0.8807,0.4972,0
0.1969,0.9605,0.4177,0
0.4976,0.7814,0.9025,1
0.8386,0.0916,0.4955,1
0.5735,0.9384,0.3654,1
0.6771,0.3948,0.8055,1
0.754,0.5081,0.178,1
0.1648,0.8017,0.3933,0
0.6346,0.9224,0.4458,1
0.0338,0.8784,0.7862,0
0.5015,0.1559,0.0453,0
0.4861,0.2421,0.0026,0
0.5762,0.419,0.4621,1
0.7815,0.064,0.6259,0
0.691,0.3429,0.537,1
0.5187,0.3135,0.9182,0
0.3996,0.5716,0.9017,0
0.5639,0.8416,0.3042,1
0.8789,0.752,0.6655,1
0.7545,0.9823,0.1811,1
0.0034,0.0185,0.6716,0
0.0107,0.8729,0.6376,0
0.0312,0.0911,0.6958,0
0.5223,0.1899,0.4133,0
0.1468,0.9133,0.6892,0
0.0853,0.632,0.4647,0
0.8566,0.464,0.2836,1
0.4787,0.37,0.3604,0
0.5671,0.6495,0.1653,0
0.1447,0.5558,0.7167,0
0.0473,0.695,0.1577,0
0.0281,0.048,0.9685,0
0.2613,0.5724,0.6196,0
0.6011,0.6269,0.712,1
0.1249,0.4909,0.5652,0
0.9627,0.9653,0.0282,1
0.378,0.8467,0.3681,0
0.0497,0.584,0.2347,0
0.4443,0.8899,0.724,1
0.446,0.7373,0.1914,0
0.1877,0.3178,0.4413,0
0.464,0.2468,0.5917,0
0.1998,0.6008,0.4615,0
0.4946,0.9358,0.1133,1
