x1,x2,x3
54.09,23.77,69.16
40.25,35.49,71.65
66.34,32.63,81.0
54.51,28.5,55.59
36.47,25.68,69.92
49.37,29.72,51.82
49.53,23.48,63.36
41.22,26.99,53.12
45.96,31.78,85.3
46.94,30.48,88.57
55.61,32.53,92.7
43.43,30.11,81.13
56.3,31.43,83.21
45.63,26.53,69.95
44.48,32.87,81.25
54.72,24.24,79.89
47.77,28.0,74.1
35.26,39.37,68.66
43.59,29.95,69.96
58.47,29.97,71.02
56.85,33.61,66.75
52.9,34.19,46.59
53.02,25.16,62.19
40.09,41.14,89.16
62.3,32.86,61.23
48.19,31.67,79.11
42.04,28.48,60.87
61.71,36.97,69.18
54.83,30.68,71.18
44.06,34.52,66.4
40.84,29.81,80.16
55.69,30.97,65.78
47.21,28.31,60.85
49.22,32.53,58.61
42.27,20.48,80.25
56.67,32.94,50.24
51.95,29.66,67.38
38.06,34.57,56.34
40.0,29.3,69.91
65.01,33.0,54.85
40.97,32.58,88.86
47.41,31.48,58.83
59.4,34.81,68.77
50.39,27.63,66.0
50.23,30.54,80.79
59.18,29.24,86.84
49.37,36.58,63.4
39.41,32.72,71.94
45.11,29.43,65.84
36.79,28.98,87.71
55.93,37.05,78.76
41.53,27.6,69.0
49.77,33.37,75.85
66.31,39.3,76.58
63.8,29.4,64.2
42.97,31.68,80.26
55.72,27.92,69.29
44.31,30.56,70.64
58.89,30.15,64.12
46.25,25.64,45.5
58.75,28.78,76.17
56.65,33.27,73.77
42.53,31.14,58.36
63.99,36.78,57.43
51.43,32.29,75.55
39.97,35.65,64.72
38.0,23.97,69.75
54.62,20.47,71.77
63.37,31.28,56.42
47.9,39.07,69.15
48.49,28.9,70.04
61.74,36.68,59.88
46.63,21.42,70.19
49.62,31.91,58.0
42.36,26.3,65.69
54.3,29.85,72.95
41.36,31.46,60.3
50.94,39.57,58.87
57.08,25.75,69.41
41.75,27.78,71.46
63.2,27.85,71.64
51.6,28.38,93.6
32.81,28.12,65.09
59.04,26.85,78.57
55.18,30.38,76.17
63.51,35.31,64.03
55.92,36.44,75.8
39.65,28.89,63.88
41.04,34.3,81.8
52.99,20.48,66.44
53.85,31.96,81.04
46.29,33.67,47.21
41.38,31.85,68.67
42.99,39.05,61.69
47.12,30.27,87.4
63.64,22.33,60.05
38.89,31.02,69.2
43.78,25.81,54.65
52.21,31.96,77.33
55.39,27.14,82.85
52.93,25.32,59.55
53.44,29.58,45.24
49.72,33.27,74.85
45.13,31.47,76.62
41.53,35.44,60.43
61.85,21.14,75.93
51.61,39.71,62.58
44.29,34.34,69.55
55.83,29.72,65.39
48.32,30.03,62.28
49.77,34.65,79.06
43.33,27.22,74.41
37.87,31.27,72.85
60.43,31.44,66.75
41.35,27.55,72.19
57.18,23.36,64.03
52.33,34.8,63.7
56.53,24.09,59.15
41.53,30.74,65.92
55.76,24.67,72.32
