time,value
1,93.6
2,107.26
3,106.28
4,100.96
5,105.21
6,103.99
7,103.51
8,107.44
9,109.32
10,112.05
11,133.39
12,121.9
13,129.69
14,117.99
15,138.69
16,109.33
17,116.69
18,118.66
19,146.03
20,129.18
21,146.28
22,137.61
23,158.25
24,149.84
25,131.43
26,141.66
27,140.28
28,155.76
29,152.94
30,149.76
31,158.96
32,165.44
33,159.07
34,170.04
35,161.22
36,168.21
37,155.42
38,148.49
39,155.66
40,162.02
41,185.0
42,174.29
43,175.64
44,181.27
45,189.77
46,170.86
47,186.29
48,188.36
49,179.88
50,182.72
51,184.32
52,177.24
53,187.61
54,196.09
55,206.84
56,207.21
57,209.96
58,208.44
59,205.21
60,220.02
