x1,x2,x3
46.45,30.88,71.43
44.33,24.23,70.97
43.97,31.52,72.4
47.89,26.99,65.59
45.31,30.73,72.42
40.64,24.26,64.38
55.44,36.32,57.01
43.22,35.93,74.26
53.31,31.25,72.74
41.82,28.65,66.69
41.31,33.37,61.79
47.65,35.67,81.17
63.41,33.92,62.19
47.16,28.83,81.18
42.89,33.14,59.84
50.17,24.88,64.06
39.93,32.79,64.81
39.2,28.16,77.18
43.25,26.1,61.26
44.21,36.77,58.3
39.37,34.61,81.45
37.73,24.62,91.54
47.66,27.08,66.83
45.95,29.57,61.06
43.41,32.78,72.9
54.27,31.47,78.51
44.74,29.49,60.21
44.68,23.16,50.86
54.99,32.63,82.57
67.33,26.44,68.05
49.37,30.88,60.27
43.69,31.25,79.59
61.49,24.71,67.89
61.6,24.69,75.22
65.54,39.84,89.59
51.38,33.82,67.15
30.39,20.71,69.99
52.13,23.97,72.93
39.31,24.57,79.13
37.9,34.74,69.83
42.55,26.4,69.85
60.75,25.81,64.75
43.33,28.02,85.64
45.5,32.37,72.22
51.06,27.7,60.94
50.35,28.17,59.6
51.86,34.25,47.25
52.85,25.9,80.4
41.82,26.09,68.52
46.23,37.05,56.54
38.98,24.46,66.66
52.42,32.98,66.92
52.01,27.86,73.12
54.26,32.31,72.71
56.59,28.38,56.42
42.23,40.6,70.64
43.12,34.33,73.05
56.4,29.85,49.94
49.68,30.38,82.01
66.07,28.11,78.45
39.15,31.91,63.41
49.32,31.89,60.54
39.65,26.33,60.83
57.71,27.35,65.17
51.43,32.6,92.19
59.78,34.44,88.2
48.18,29.39,79.83
48.31,27.46,63.57
50.04,22.3,73.65
33.57,29.68,68.7
45.61,32.16,65.45
44.39,38.27,79.75
45.3,29.1,70.48
59.73,19.92,67.93
42.61,42.11,61.37
55.77,32.92,73.23
54.11,29.35,80.22
67.87,24.48,83.77
52.91,23.34,65.81
59.04,25.46,73.12
57.33,35.18,79.34
52.18,22.57,67.58
50.02,28.81,61.09
47.69,28.34,61.81
51.71,29.04,69.77
45.05,29.46,54.62
48.4,23.0,66.36
35.05,22.23,61.94
52.25,37.9,59.53
53.88,29.84,69.8
61.53,26.38,84.53
56.91,33.47,70.29
48.82,22.57,48.17
46.1,19.93,78.7
46.82,40.85,52.16
52.41,28.17,78.88
48.26,44.42,68.83
53.23,26.71,66.26
64.27,21.32,49.05
35.99,36.8,82.43
51.03,27.11,65.26
44.05,33.61,64.04
36.47,24.82,62.43
53.0,26.3,78.36
56.85,27.92,75.0
42.4,37.13,78.99
50.85,16.99,92.98
55.39,24.13,55.75
44.06,32.62,82.35
41.48,32.89,47.05
43.06,36.71,82.67
46.81,22.66,64.29
59.95,18.73,78.61
65.0,36.99,70.09
41.56,31.55,59.1
46.12,36.43,65.1
49.39,29.49,51.07
43.58,27.37,75.6
39.96,25.4,69.95
55.62,29.9,47.85
