x1,x2,x3,label
0.5889,0.5368,0.5765,1
0.8459,0.168,0.8787,1
0.5363,0.0568,0.4539,0
0.2844,0.4627,0.0277,0
0.7905,0.5706,0.0054,0
0.2769,0.6634,0.9965,0
0.88,0.3746,0.2595,1
0.7755,0.1205,0.1619,0
0.7728,0.0842,0.3334,0
0.0514,0.4911,0.058,0
0.6943,0.4316,0.6626,1
0.3343,0.5327,0.286,0
0.6088,0.7545,0.3817,1
0.5074,0.5687,0.2444,0
0.1789,0.3934,0.0818,0
0.5313,0.7768,0.3751,1
0.5248,0.3279,0.7267,1
0.5187,0.127,0.2952,0
0.6786,0.5684,0.1138,1
0.8846,0.8754,0.098,1
0.1486,0.5975,0.6377,0
0.9176,0.3332,0.596,1
0.0094,0.6596,0.5432,0
0.5163,0.2769,0.4065,0
0.4717,0.6814,0.849,1
0.858,0.7136,0.9699,1
0.0418,0.8787,0.915,0
0.4618,0.4444,0.208,0
0.5094,0.3712,0.9015,1
0.7508,0.6347,0.804,1
0.0033,0.3473,0.6717,0
0.0423,0.2448,0.9895,0
0.5474,0.3753,0.1814,0
0.8924,0.3804,0.1458,1
0.9512,0.2437,0.7811,1
0.0636,0.6347,0.2634,0
0.6322,0.2306,0.0193,0
0.1888,0.4231,0.0539,0
0.3551,0.6065,0.1727,0
0.4083,0.5724,0.0058,0
0.7548,0.4272,0.9541,1
0.7084,0.2058,0.2558,0
0.5179,0.2682,0.5296,0
0.609,0.9991,0.1859,1
0.8217,0.2578,0.4971,1
0.0544,0.8718,0.7858,0
0.7862,0.046,0.8519,1
0.3411,0.3052,0.8758,0
0.0684,0.092,0.1316,0
0.0728,0.1619,0.5715,0
0.8397,0.4152,0.1696,1
0.5174,0.211,0.9819,1
0.1755,0.2014,0.8348,0
0.7011,0.3268,0.2537,0
0.6561,0.7354,0.0095,0
0.3345,0.72,0.3388,0
0.8274,0.0098,0.6463,1
0.6376,0.8953,0.1195,1
0.7657,0.8052,0.1083,1
0.9509,0.7635,0.0419,1
0.355,0.7394,0.8177,1
0.7018,0.2653,0.5423,1
0.5627,0.7117,0.4696,1
0.7988,0.7929,0.367,1
0.7315,0.4615,0.3209,1
0.203,0.9239,0.4923,0
0.3469,0.8684,0.7789,1
0.9611,0.0754,0.2058,1
0.1601,0.62,0.1399,0
0.9113,0.3121,0.1978,1
0.7767,0.3358,0.6336,1
0.9324,0.895,0.1635,1
0.7517,0.2835,0.7183,1
0.8197,0.1343,0.8809,1
0.9756,0.4552,0.6801,1
0.3777,0.7034,0.7898,1
0.34,0.0223,0.4687,0
0.7482,0.6454,0.61,1
0.6575,0.8178,0.2518,1
0.0585,0.3106,0.6801,0
0.3629,0.2596,0.5087,0
0.734,0.5792,0.1272,1
0.4227,0.6426,0.6237,1
0.5913,0.4768,0.1425,0
0.549,0.9664,0.0865,1
0.4929,0.0177,0.7154,0
0.3388,0.5352,0.6452,0
0.4176,0.7807,0.4892,1
0.0454,0.2682,0.1615,0
0.0667,0.4342,0.1391,0
0.4848,0.0131,0.1573,0
0.8758,0.213,0.4142,1
0.2301,0.8853,0.5024,0
0.6326,0.033,0.1206,0
0.3773,0.3464,0.1329,0
0.206,0.2971,0.3618,0
0.2363,0.139,0.2175,0
0.7128,0.296,0.2122,0
0.4253,0.4681,0.2681,0
0.6752,0.7096,0.6284,1
0.7101,0.2046,0.5682,0
0.674,0.9765,0.386,1
0.1351,0.5133,0.5791,0
0.5593,0.7963,0.5922,1
0.0032,0.1378,0.062,0
0.7672,0.6101,0.3362,1
0.5758,0.6381,0.1082,1
0.5557,0.2208,0.2841,0
0.0123,0.4221,0.5229,0
0.4835,0.0402,0.3811,0
0.6316,0.0822,0.1241,0
0.6712,0.4929,0.1294,1
0.8,0.3111,0.1717,0
0.6328,0.0637,0.3693,0
0.9832,0.2295,0.2652,1
0.4277,0.4213,0.4448,0
0.3224,0.1379,0.9886,0
0.2372,0.4372,0.7222,0
0.5349,0.0092,0.0989,0
0.8139,0.7982,0.4852,1
0.0169,0.4899,0.6829,0
0.1043,0.5139,0.7657,0
0.127,0.638,0.9211,0
0.7886,0.3979,0.2199,0
0.3397,0.1106,0.6608,0
0.8612,0.8443,0.5796,1
0.7311,0.4395,0.4083,1
0.6127,0.0893,0.1613,0
0.6169,0.4511,0.9667,1
0.31,0.6011,0.8082,1
0.5198,0.7307,0.6584,1
0.4431,0.0627,0.7657,0
0.6473,0.5197,0.4562,1
0.5112,0.2057,0.7087,0
0.9767,0.0789,0.2744,1
0.2289,0.3737,0.6303,0
0.0585,0.7735,0.7017,0
0.0353,0.8555,0.4576,0
0.5081,0.44,0.5339,0
0.6913,0.7507,0.755,1
0.8215,0.8111,0.6626,1
0.3112,0.9148,0.0258,0
0.152,0.6865,0.9806,0
0.7976,0.5365,0.4099,1
0.8143,0.6175,0.2759,1
0.0085,0.6301,0.6562,0
0.7938,0.9281,0.4049,1
0.1167,0.9773,0.6746,0
0.076,0.8207,0.1241,0
0.5177,0.264,0.9344,1
0.1138,0.4515,0.675,0
0.6956,0.5455,0.2284,1
0.2675,0.9728,0.5495,1
0.6893,0.8357,0.6689,1
0.4632,0.2355,0.3493,0
0.0507,0.4073,0.8055,0
0.6752,0.9574,0.5292,1
0.9213,0.3287,0.1544,1
0.963,0.6238,0.103,1
0.8349,0.7091,0.427,1
0.4842,0.4977,0.3302,0
0.9388,0.3962,0.2777,1
0.3627,0.71,0.0533,0
0.2055,0.9454,0.5033,0
0.2906,0.3379,0.9612,0
0.4228,0.74,0.8961,1
0.6088,0.0805,0.2365,0
0.1,0.4708,0.9899,0
0.6757,0.7492,0.6891,1
0.9816,0.14,0.9365,1
0.907,0.2171,0.5019,1
0.5995,0.0029,0.2716,0
0.1591,0.0133,0.2628,0
0.5661,0.8171,0.0778,0
0.9708,0.9431,0.304,1
0.3001,0.9351,0.106,0
0.4463,0.1583,0.0227,0
0.2863,0.0695,0.7273,0
0.3143,0.7525,0.395,0
0.1768,0.9086,0.139,0
