x1,x2,x3,label
0.5393,0.3475,0.8872,0
0.4678,0.8083,0.536,1
0.2635,0.7994,0.248,1
0.1731,0.5072,0.0818,0
0.4368,0.5084,0.3473,0
0.7321,0.2763,0.3629,1
0.0555,0.0897,0.0698,0
0.2057,0.1659,0.8439,0
0.8259,0.9633,0.4898,1
0.1013,0.4759,0.8321,0
0.071,0.3453,0.8569,0
0.4027,0.6798,0.4789,1
0.756,0.5393,0.0073,1
0.3383,0.3346,0.1235,0
0.5668,0.1644,0.8106,0
0.1145,0.5981,0.5233,0
0.2076,0.6007,0.1419,0
0.2205,0.0332,0.628,0
0.5658,0.7161,0.9214,1
0.3601,0.0435,0.6087,0
0.4757,0.6688,0.8415,1
0.9335,0.7721,0.9637,1
0.7313,0.0928,0.8105,0
0.867,0.7393,0.7743,1
0.2049,0.2272,0.2749,0
0.2938,0.2689,0.142,0
0.419,0.626,0.6803,1
0.4509,0.9853,0.6477,1
0.9184,0.9705,0.8044,1
0.6757,0.1668,0.9237,0
0.0136,0.8948,0.2831,0
0.4377,0.1799,0.089,0
0.7451,0.6009,0.6117,1
0.3971,0.366,0.6293,0
0.1613,0.2693,0.6558,0
0.9181,0.7657,0.1975,1
0.4842,0.9514,0.2009,1
0.5804,0.5928,0.5467,1
0.4284,0.163,0.8635,0
0.5511,0.3607,0.2914,0
0.5695,0.5152,0.2784,1
0.126,0.3904,0.6637,0
0.5993,0.4461,0.5325,1
0.7848,0.2636,0.4599,1
0.8192,0.0403,0.7819,0
0.2048,0.7902,0.2371,1
0.0495,0.1658,0.182,0
0.8769,0.6477,0.4945,1
0.7908,0.783,0.4351,1
0.82,0.7099,0.8503,1
0.6228,0.3697,0.2748,1
0.1748,0.1374,0.6623,0
0.475,0.0961,0.976,0
0.0289,0.4049,0.4143,0
0.113,0.8733,0.9546,1
0.8936,0.4788,0.5103,1
0.1728,0.0863,0.6331,0
0.4477,0.9232,0.081,1
0.6638,0.6522,0.9745,1
0.4488,0.4611,0.0187,0
0.4529,0.3184,0.6064,0
0.8483,0.8847,0.9793,1
0.9734,0.0857,0.7328,1
0.715,0.6943,0.1175,1
0.4853,0.1153,0.9422,0
0.0185,0.6441,0.5717,0
0.3776,0.0672,0.1726,0
0.4895,0.1659,0.47,0
0.8581,0.4546,0.7959,1
0.9695,0.1463,0.331,1
0.9831,0.9188,0.0512,1
0.4099,0.6087,0.6847,1
0.0322,0.3071,0.4464,0
0.8025,0.4003,0.9177,1
0.0721,0.4672,0.7241,0
0.2094,0.8906,0.4433,1
0.9867,0.0963,0.3023,1
0.9452,0.1696,0.9693,1
0.883,0.6533,0.059,1
0.7036,0.0883,0.5276,0
