x1,x2,x3,label
0.5627,0.3008,0.9984,1
0.8363,0.4668,0.1979,1
0.5906,0.5186,0.0536,0
0.5732,0.0332,0.2274,0
0.51,0.2895,0.7428,0
0.3449,0.548,0.5219,0
0.1451,0.6553,0.6392,0
0.0249,0.3668,0.3791,0
0.4921,0.0006,0.5764,0
0.6693,0.8336,0.2158,1
0.8413,0.5269,0.2852,1
0.2399,0.9096,0.8991,1
0.7273,0.2528,0.1631,0
0.5273,0.1555,0.507,0
0.8739,0.2812,0.2552,1
0.1179,0.8587,0.813,0
0.1251,0.0082,0.373,0
0.0267,0.2373,0.9345,0
0.4307,0.1868,0.4824,0
0.938,0.1741,0.6902,1
0.7123,0.5322,0.5585,1
0.7974,0.7801,0.6272,1
0.2604,0.9501,0.5196,0
0.4286,0.4476,0.7759,1
0.1238,0.8516,0.4722,0
0.5036,0.8719,0.3476,1
0.4305,0.6775,0.5962,0
0.4258,0.4569,0.7648,0
0.6196,0.5155,0.4388,1
0.4784,0.0992,0.343,0
0.1785,0.5174,0.1067,0
0.588,0.1322,0.0645,0
0.3935,0.1858,0.6533,0
0.2897,0.6275,0.8645,0
0.4386,0.3613,0.2359,0
0.2635,0.092,0.554,0
0.2299,0.6406,0.762,0
0.8968,0.9884,0.1548,1
0.0001,0.3215,0.6586,0
0.4063,0.9919,0.5451,1
0.4564,0.46,0.5618,0
0.9143,0.5057,0.8476,1
0.3084,0.3117,0.6498,0
0.2015,0.3635,0.8595,0
0.7966,0.7879,0.7267,1
0.3994,0.3024,0.8555,0
0.6909,0.001,0.3554,0
0.6349,0.4586,0.9331,1
0.0231,0.0958,0.4561,0
0.9912,0.6212,0.9111,1
0.3135,0.5745,0.7004,0
0.7136,0.9743,0.0769,1
0.8615,0.6375,0.0285,1
0.6204,0.8134,0.3765,1
0.4837,0.7552,0.3721,1
0.4978,0.4771,0.2675,0
0.057,0.2588,0.124,0
0.2256,0.7183,0.819,0
0.2094,0.9149,0.2018,0
0.7661,0.2069,0.926,1
0.1538,0.2876,0.2528,0
0.7775,0.2903,0.5907,1
0.9495,0.6514,0.6474,1
0.0825,0.9154,0.6923,0
0.3322,0.4512,0.2604,0
0.3673,0.088,0.7813,0
0.2583,0.8265,0.8725,1
0.0005,0.3042,0.3794,0
0.8662,0.2479,0.1582,1
0.4511,0.7196,0.2421,0
0.1449,0.6428,0.2316,0
0.9023,0.3845,0.2134,1
0.5459,0.6132,0.4325,1
0.9633,0.7941,0.862,1
0.5999,0.7367,0.5447,1
0.8103,0.1789,0.2225,0
0.4406,0.7755,0.832,1
0.497,0.839,0.3857,1
0.9712,0.8658,0.0252,1
0.877,0.3537,0.7187,1
0.4991,0.6883,0.8226,1
0.0447,0.1514,0.8228,0
0.7595,0.2415,0.5177,1
0.16,0.926,0.1645,0
0.1982,0.2242,0.1263,0
0.7205,0.6006,0.4709,1
0.4047,0.535,0.8383,1
0.2683,0.7502,0.4181,0
0.0409,0.311,0.7259,0
0.4893,0.4128,0.4898,0
0.1377,0.1823,0.7194,0
0.6504,0.2026,0.3123,0
0.7822,0.0591,0.0497,0
0.2659,0.8495,0.5444,1
0.3582,0.1208,0.4008,0
0.7962,0.5009,0.8428,1
0.83,0.9674,0.3388,1
0.5326,0.5922,0.7262,1
0.9877,0.5755,0.7168,1
0.1217,0.3105,0.4648,0
0.6631,0.8868,0.0626,1
0.3269,0.3792,0.2909,0
0.7716,0.2722,0.5789,1
0.8182,0.6416,0.9073,1
0.9794,0.2415,0.4365,1
0.6946,0.817,0.4715,1
0.6807,0.2417,0.7028,1
0.7756,0.4018,0.1371,0
0.8117,0.941,0.9168,1
0.3607,0.9383,0.937,1
0.2516,0.163,0.3354,0
0.9306,0.2564,0.8278,1
0.8376,0.9962,0.0632,1
0.7982,0.0633,0.4964,1
0.6924,0.3549,0.7931,1
0.3494,0.9048,0.284,1
0.6429,0.4625,0.1406,0
0.7799,0.4011,0.9914,1
0.2277,0.2372,0.0211,0
0.1833,0.3622,0.1229,0
0.9089,0.7514,0.4532,1
0.8413,0.4052,0.9516,1
0.2238,0.6558,0.8996,1
0.6405,0.6618,0.9145,1
0.7731,0.8703,0.647,1
0.4954,0.4632,0.5227,0
0.0846,0.8745,0.7276,0
0.6831,0.34,0.3542,1
0.4044,0.0344,0.9335,0
0.107,0.2724,0.6189,0
0.441,0.4691,0.7719,0
0.8868,0.1727,0.9885,1
0.052,0.9496,0.4841,0
0.6712,0.2843,0.391,1
0.4978,0.0354,0.2764,0
0.7373,0.3271,0.802,1
0.917,0.3386,0.7069,1
0.9449,0.249,0.0792,1
0.68,0.5583,0.695,1
0.6235,0.9147,0.7412,1
0.6303,0.8769,0.3856,1
0.3508,0.9919,0.7326,1
0.6416,0.0903,0.2648,0
0.49,0.7225,0.787,1
0.0305,0.5617,0.9435,0
