x1,x2,x3,label
0.4052,0.6227,0.3344,1
0.8685,0.8639,0.1188,1
0.225,0.7365,0.017,1
0.9666,0.7033,0.6186,1
0.7491,0.0214,0.6068,0
0.1982,0.1325,0.9073,0
0.7452,0.1498,0.9475,0
0.987,0.9024,0.0896,1
0.7255,0.9979,0.3926,1
0.4941,0.1761,0.4808,0
0.9291,0.2314,0.6815,1
0.3601,0.1269,0.2358,0
0.9572,0.0806,0.4596,1
0.3315,0.3463,0.5723,0
0.1537,0.12,0.5726,0
0.613,0.7714,0.5526,1
0.1198,0.7494,0.3443,0
0.0164,0.3915,0.7453,0
0.9626,0.0573,0.5178,1
0.8327,0.7107,0.3138,1
0.6198,0.5552,0.06,1
0.2585,0.1148,0.1788,0
0.9145,0.1867,0.1788,1
0.4549,0.8594,0.8561,1
0.0217,0.8174,0.9262,0
0.8467,0.0593,0.9381,0
0.9442,0.1858,0.8025,1
0.3798,0.3057,0.1908,0
0.7151,0.1196,0.8671,0
0.9136,0.5627,0.7516,1
0.74,0.628,0.9895,1
0.3206,0.1035,0.5125,0
0.9943,0.4133,0.493,1
0.341,0.0653,0.5609,0
0.9672,0.0995,0.7101,1
0.748,0.6611,0.2061,1
0.0052,0.1092,0.3096,0
0.51,0.2579,0.1456,0
0.5869,0.1913,0.6051,0
0.6669,0.2891,0.6433,1
0.8855,0.8805,0.747,1
0.1656,0.0025,0.1406,0
0.3235,0.9482,0.8052,1
0.6115,0.7763,0.7146,1
0.7153,0.0469,0.852,0
0.6487,0.8964,0.6908,1
0.1627,0.7656,0.7632,0
0.5204,0.228,0.6452,0
0.2876,0.6498,0.0529,0
0.9085,0.3728,0.1957,1
0.894,0.1445,0.394,1
0.5594,0.7368,0.9826,1
0.2187,0.0147,0.6748,0
0.301,0.8618,0.0573,1
0.0701,0.4112,0.9962,0
0.5977,0.9181,0.8779,1
0.0312,0.6236,0.6966,0
0.5935,0.3711,0.1918,1
0.4366,0.7474,0.8229,1
0.1962,0.3479,0.755,0
0.402,0.1231,0.097,0
0.5828,0.6613,0.6806,1
0.1014,0.7202,0.1263,0
0.0043,0.0911,0.0924,0
0.4793,0.2251,0.4669,0
0.1096,0.3509,0.419,0
0.3882,0.4348,0.8984,0
0.3026,0.9655,0.324,1
0.1039,0.8936,0.5412,1
0.8119,0.882,0.394,1
0.7319,0.1857,0.3412,0
0.0286,0.7584,0.5392,0
0.2347,0.7098,0.5363,0
0.3534,0.6928,0.4826,1
0.0883,0.1001,0.5239,0
0.0322,0.4138,0.6948,0
0.7688,0.5712,0.6147,1
0.5566,0.0238,0.0272,0
0.1952,0.283,0.6835,0
0.3843,0.5789,0.5729,1
