x1,x2,x3,label
0.9279,0.2787,0.6104,1
0.1494,0.5681,0.9913,0
0.9718,0.6986,0.0981,1
0.7324,0.9921,0.7001,1
0.6452,0.8455,0.2498,1
0.8075,0.0265,0.2793,0
0.588,0.9016,0.3324,1
0.7172,0.9764,0.4009,1
0.4812,0.9063,0.8685,1
0.3515,0.8031,0.9379,1
0.5767,0.5815,0.834,1
0.1354,0.7243,0.5108,0
0.1624,0.0544,0.8234,0
0.2951,0.7923,0.405,1
0.7559,0.8935,0.4758,1
0.1275,0.6479,0.8503,0
0.1068,0.2832,0.4993,0
0.532,0.1954,0.0342,0
0.5596,0.6398,0.1099,1
0.9555,0.0869,0.0195,1
0.7343,0.8298,0.991,1
0.6244,0.9825,0.7541,1
0.7727,0.6648,0.1161,1
0.4978,0.189,0.6429,0
0.8429,0.3552,0.1829,1
0.1734,0.4641,0.4495,0
0.1887,0.0892,0.9741,0
0.9628,0.2056,0.0026,1
0.7065,0.1684,0.7144,0
0.5997,0.6453,0.2137,1
0.87,0.5676,0.1498,1
0.8643,0.2422,0.1146,1
0.0759,0.1506,0.8771,0
0.9558,0.9152,0.908,1
0.3343,0.6376,0.4818,1
0.6515,0.1034,0.6717,0
0.7571,0.6588,0.7404,1
0.9442,0.1485,0.567,1
0.5357,0.6552,0.1077,1
0.0112,0.5471,0.5087,0
0.1458,0.6403,0.4292,0
0.4471,0.3165,0.9387,0
0.2443,0.4725,0.3729,0
0.1899,0.0306,0.2783,0
0.3338,0.4467,0.1708,0
0.2384,0.4474,0.9998,0
0.463,0.4144,0.6168,0
0.9463,0.2384,0.4029,1
0.4207,0.6636,0.032,1
0.3091,0.8549,0.5499,1
0.2635,0.3522,0.2111,0
0.8733,0.7696,0.0002,1
0.0954,0.5563,0.6705,0
0.1123,0.6156,0.8076,0
0.1078,0.9657,0.5284,1
0.0732,0.7014,0.8171,0
0.6235,0.4311,0.1277,1
0.2144,0.2198,0.9342,0
0.1022,0.7118,0.2184,0
0.759,0.3624,0.9925,1
0.7211,0.0349,0.3684,0
0.8007,0.1071,0.5772,0
0.4468,0.533,0.0871,1
0.3752,0.3993,0.1064,0
0.1049,0.1766,0.5467,0
0.9283,0.6157,0.8469,1
0.6693,0.7681,0.4782,1
0.9287,0.5628,0.7535,1
0.4107,0.3125,0.7192,0
0.5709,0.5545,0.2866,1
0.918,0.91,0.1304,1
0.3699,0.0196,0.4517,0
0.0119,0.3217,0.5794,0
0.7665,0.1068,0.6423,0
0.091,0.7726,0.6856,0
0.2963,0.9954,0.7673,1
0.4886,0.0033,0.8621,0
0.3224,0.1891,0.9419,0
0.8983,0.3989,0.9063,1
0.1207,0.4774,0.7131,0
