x1,x2,x3,label
0.2796,0.9514,0.4606,1
0.6208,0.543,0.6966,1
0.0622,0.8105,0.9235,0
0.4358,0.2523,0.5635,0
0.6874,0.1688,0.5928,0
0.5595,0.9796,0.4766,1
0.3692,0.7993,0.969,1
0.145,0.4152,0.3341,0
0.9733,0.8157,0.3212,1
0.6528,0.966,0.2112,1
0.0705,0.7783,0.3313,0
0.537,0.5738,0.153,1
0.0517,0.2882,0.1549,0
0.1852,0.8843,0.7823,1
0.0115,0.0318,0.9386,0
0.3433,0.1375,0.3845,0
0.1369,0.2793,0.7608,0
0.0123,0.3084,0.464,0
0.2443,0.3417,0.0246,0
0.6292,0.7735,0.1842,1
0.9379,0.5022,0.1613,1
0.3422,0.8418,0.9197,1
0.2933,0.6243,0.6429,0
0.8637,0.6663,0.8953,1
0.7874,0.1485,0.7069,0
0.2424,0.5458,0.6411,0
0.8704,0.8001,0.0983,1
0.6002,0.8669,0.3053,1
0.6944,0.6593,0.3077,1
0.7015,0.4794,0.957,1
0.987,0.8052,0.0751,1
0.2251,0.1735,0.1049,0
0.4142,0.7228,0.2998,1
0.8,0.0496,0.0259,0
0.036,0.5313,0.373,0
0.7396,0.0238,0.0301,0
0.8508,0.1624,0.1499,1
0.3029,0.7857,0.4948,1
0.5375,0.331,0.166,0
0.1837,0.6437,0.8552,0
0.225,0.4775,0.7928,0
0.6775,0.9825,0.6235,1
0.1018,0.4236,0.9623,0
0.2395,0.1235,0.2273,0
0.3032,0.3327,0.7036,0
0.2616,0.0352,0.8204,0
0.9106,0.9639,0.0689,1
0.5485,0.5079,0.1384,1
0.8171,0.7839,0.5131,1
0.9,0.1857,0.1677,1
0.4986,0.1537,0.7077,0
0.593,0.5011,0.5988,1
0.9027,0.7916,0.6016,1
0.8595,0.4887,0.8752,1
0.5633,0.7315,0.5811,1
0.2802,0.3977,0.4034,0
0.0277,0.9719,0.3821,1
0.8074,0.9881,0.4312,1
0.5694,0.6659,0.7526,1
0.92,0.184,0.5519,1
0.7166,0.4485,0.6231,1
0.7905,0.3636,0.2113,1
0.4914,0.9296,0.1949,1
0.8961,0.8544,0.8901,1
0.2175,0.2987,0.4651,0
0.5431,0.2828,0.0223,0
0.8137,0.3784,0.8323,1
0.1209,0.9695,0.3639,1
0.8313,0.6643,0.323,1
0.3368,0.2774,0.1788,0
0.3664,0.4665,0.8097,0
0.5994,0.2149,0.5594,0
0.6816,0.6989,0.4822,1
0.9071,0.9549,0.4795,1
0.1481,0.4871,0.7348,0
0.4239,0.6287,0.0817,1
0.2628,0.1767,0.8717,0
0.5225,0.1807,0.6915,0
0.6311,0.6898,0.3151,1
0.4688,0.889,0.0764,1
