x1,x2,x3,label
0.515,0.8147,0.6032,1
0.0378,0.0627,0.949,0
0.4332,0.5776,0.9841,1
0.6321,0.7705,0.7532,1
0.5205,0.3741,0.6775,0
0.9264,0.8461,0.4281,1
0.7305,0.3257,0.7787,1
0.4962,0.7119,0.683,1
0.4885,0.1288,0.3928,0
0.7461,0.0559,0.5448,0
0.3406,0.4147,0.136,0
0.7605,0.2322,0.1519,1
0.6031,0.4195,0.7312,1
0.4041,0.8177,0.4585,1
0.4885,0.0711,0.0574,0
0.8836,0.8315,0.0848,1
0.2274,0.72,0.7695,0
0.2525,0.8883,0.099,1
0.3888,0.1978,0.9737,0
0.5186,0.4144,0.863,0
0.7936,0.0459,0.093,0
0.9165,0.3015,0.1186,1
0.1991,0.1698,0.5351,0
0.4696,0.6479,0.4283,1
0.8005,0.6759,0.8406,1
0.5885,0.6143,0.9281,1
0.8343,0.5017,0.9067,1
0.4035,0.5719,0.691,1
0.7772,0.7363,0.1197,1
0.8694,0.2662,0.0292,1
0.9006,0.572,0.6331,1
0.8097,0.1064,0.8634,0
0.9588,0.9072,0.1422,1
0.5346,0.3265,0.7808,0
0.1241,0.4662,0.7646,0
0.1155,0.0903,0.9361,0
0.5029,0.5199,0.0718,1
0.1738,0.3669,0.1373,0
0.3042,0.6083,0.3025,0
0.4148,0.5534,0.5118,1
0.3213,0.617,0.0754,0
0.9294,0.5198,0.871,1
0.3943,0.6645,0.6242,1
0.4442,0.5844,0.8425,1
0.3947,0.7615,0.6612,1
0.104,0.4574,0.5892,0
0.1554,0.9141,0.3557,1
0.4036,0.0003,0.7365,0
0.3612,0.6307,0.4432,1
0.5073,0.3171,0.417,0
0.8349,0.8896,0.2218,1
0.2061,0.2288,0.5518,0
0.8015,0.3093,0.378,1
0.3664,0.3188,0.1571,0
0.9607,0.0668,0.7063,1
0.235,0.6284,0.8649,0
0.9159,0.8267,0.4383,1
0.0605,0.2581,0.461,0
0.9624,0.3102,0.2002,1
0.1248,0.1047,0.0771,0
0.8737,0.0869,0.9698,1
0.6949,0.5944,0.5548,1
0.5489,0.6595,0.2666,1
0.7061,0.3861,0.4783,1
0.8945,0.8914,0.1472,1
0.7499,0.844,0.7824,1
0.1909,0.2328,0.1992,0
0.2662,0.251,0.0032,0
0.8033,0.0932,0.1595,0
0.1793,0.462,0.238,0
0.564,0.0935,0.3647,0
0.5905,0.9989,0.2715,1
0.3669,0.824,0.318,1
0.6476,0.0557,0.7276,0
0.1484,0.3102,0.7011,0
0.6615,0.5455,0.5287,1
0.7821,0.9493,0.2802,1
0.269,0.3208,0.3613,0
0.6541,0.1335,0.6497,0
0.1487,0.1688,0.8018,0
