x1,x2,x3
45.73,32.15,77.27
44.64,38.82,67.13
50.08,26.42,52.01
48.44,30.45,82.74
50.93,36.11,65.34
38.41,31.73,58.2
48.15,37.09,71.0
53.09,36.59,73.58
59.23,28.95,67.67
44.42,35.45,84.68
57.26,26.86,74.46
55.2,25.04,79.54
35.49,30.15,58.22
49.82,29.07,85.9
48.65,26.99,69.58
34.68,23.73,47.12
54.44,26.74,66.98
47.13,20.35,83.83
54.68,31.17,69.9
62.09,33.93,74.99
50.11,35.89,60.46
43.39,26.71,74.17
39.02,23.85,69.48
43.37,39.3,60.44
56.74,28.13,62.33
44.58,29.79,58.67
40.86,28.57,89.76
47.34,23.88,74.53
39.73,33.61,61.38
53.85,26.15,75.19
36.89,33.15,87.15
49.24,35.46,77.93
40.37,33.72,74.55
60.22,27.92,75.51
44.47,36.47,91.99
58.91,26.9,55.5
39.37,23.42,63.55
51.9,23.83,69.12
42.35,31.15,69.16
38.45,35.93,81.16
53.89,26.1,71.54
60.68,27.23,88.41
36.21,33.27,61.3
42.53,31.74,72.51
50.83,22.34,75.01
53.64,25.93,73.54
60.68,34.14,69.31
45.16,32.38,68.0
53.02,28.5,76.49
46.11,20.44,64.32
50.59,36.85,75.52
40.01,31.08,71.13
47.22,34.79,83.22
63.56,32.75,50.05
53.76,32.5,60.94
47.8,29.25,68.65
41.24,31.1,69.59
54.23,25.21,74.97
52.4,21.21,62.48
38.17,33.27,70.01
51.28,24.75,69.87
32.45,32.23,68.47
58.77,35.95,65.66
57.89,32.58,89.66
60.2,30.79,54.2
46.42,19.99,73.49
37.73,27.76,75.48
56.74,30.29,60.76
46.8,36.94,79.36
48.68,33.76,61.51
49.66,34.27,60.27
58.0,32.96,69.16
52.75,30.51,68.53
50.39,40.4,64.87
64.7,37.59,58.18
39.33,29.85,57.07
51.5,23.89,77.88
41.71,35.01,75.68
60.52,28.81,66.38
59.43,29.75,64.21
38.11,31.2,69.6
45.17,27.29,80.02
50.46,24.23,48.88
70.27,28.41,52.83
62.87,34.2,73.39
47.74,24.44,67.82
55.08,23.3,86.19
41.74,25.1,83.41
49.01,26.67,58.92
40.66,22.72,76.56
53.85,30.82,72.67
45.53,36.89,83.27
59.0,24.96,68.07
54.25,31.82,64.26
56.08,34.8,76.41
55.36,39.67,59.84
53.83,34.11,84.26
57.08,36.94,69.6
45.79,25.37,72.95
56.14,25.27,65.81
57.94,34.06,75.19
47.29,31.03,66.59
59.94,33.61,71.28
52.26,32.41,64.36
54.57,30.45,61.78
52.31,32.75,57.85
50.99,28.31,51.47
58.0,25.59,59.67
53.42,36.85,65.61
46.16,29.98,79.13
53.08,36.81,74.6
54.75,36.43,88.12
51.91,28.39,76.55
57.98,31.41,67.92
50.49,29.25,68.19
51.59,32.53,53.34
43.85,36.01,58.83
38.73,24.91,49.92
50.13,23.94,83.73
43.77,34.89,81.85
