x1,x2,x3,label
0.4377,0.4159,0.9731,0
0.6888,0.6779,0.8979,1
0.4803,0.6985,0.3559,1
0.9896,0.0835,0.8664,1
0.3868,0.8846,0.6935,1
0.7974,0.9081,0.5916,1
0.4483,0.1474,0.3715,0
0.3868,0.978,0.3287,1
0.6997,0.4416,0.0292,1
0.6114,0.3162,0.0388,0
0.5476,0.9438,0.5198,1
0.0543,0.4014,0.179,0
0.1768,0.5984,0.7188,0
0.4927,0.7561,0.0239,1
0.5069,0.583,0.6092,1
0.1267,0.8393,0.2498,1
0.0136,0.5542,0.9334,0
0.2245,0.188,0.4485,0
0.3518,0.8592,0.4597,1
0.5091,0.1932,0.6729,0
0.9314,0.0838,0.193,1
0.2514,0.4556,0.6596,0
0.085,0.6737,0.5404,0
0.1742,0.9506,0.5892,1
0.7729,0.2858,0.1106,1
0.7768,0.0413,0.2861,0
0.1067,0.2137,0.8341,0
0.442,0.5785,0.3915,1
0.6575,0.8111,0.2367,1
0.6595,0.8915,0.3332,1
0.6971,0.4466,0.7685,1
0.822,0.776,0.3442,1
0.4101,0.9384,0.8464,1
0.9484,0.7305,0.8897,1
0.9245,0.0854,0.7859,1
0.243,0.4684,0.6972,0
0.6356,0.7455,0.1733,1
0.2039,0.2567,0.9358,0
0.7031,0.3422,0.6176,1
0.5878,0.6285,0.569,1
0.6931,0.4895,0.4366,1
0.2871,0.4181,0.0377,0
0.173,0.0861,0.1078,0
0.2524,0.654,0.1886,0
0.3945,0.9312,0.3739,1
0.1835,0.7988,0.9846,1
0.9828,0.4859,0.9922,1
0.6147,0.0978,0.8227,0
0.5277,0.1053,0.9889,0
0.7479,0.2748,0.5226,1
0.2789,0.8649,0.6644,1
0.738,0.2746,0.5508,1
0.6445,0.0888,0.5616,0
0.766,0.2363,0.5608,1
0.1015,0.1782,0.7964,0
0.716,0.4049,0.6551,1
0.4584,0.9058,0.342,1
0.2171,0.3374,0.9665,0
0.6181,0.4473,0.6985,1
0.9677,0.2677,0.0371,1
0.5074,0.9777,0.2717,1
0.6945,0.7257,0.9868,1
0.5043,0.1604,0.9832,0
0.1065,0.3251,0.2445,0
0.3746,0.0811,0.0203,0
0.3392,0.0562,0.9589,0
0.7482,0.9474,0.527,1
0.0051,0.8617,0.9359,0
0.1605,0.472,0.9884,0
0.6409,0.8412,0.2297,1
0.503,0.0768,0.1757,0
0.6256,0.3288,0.9718,1
0.5478,0.2552,0.6386,0
0.3196,0.5933,0.2606,0
0.3497,0.8873,0.4743,1
0.9608,0.9056,0.856,1
0.3439,0.2434,0.7305,0
0.8664,0.2791,0.5733,1
0.6805,0.7256,0.5428,1
0.546,0.2892,0.6558,0
