x1,x2,x3,label
0.5502,0.4852,0.0187,1
0.0833,0.8241,0.1684,0
0.1707,0.7513,0.466,0
0.2815,0.4008,0.7591,0
0.564,0.2523,0.276,0
0.6248,0.2942,0.9209,0
0.3332,0.004,0.0368,0
0.8703,0.7057,0.4876,1
0.6162,0.7509,0.5559,1
0.2646,0.3913,0.4089,0
0.9296,0.576,0.5505,1
0.8693,0.5365,0.2136,1
0.0406,0.332,0.4531,0
0.9996,0.3939,0.4069,1
0.9412,0.3516,0.3969,1
0.464,0.8769,0.585,1
0.4646,0.8403,0.6821,1
0.542,0.9296,0.4757,1
0.8639,0.2792,0.549,1
0.0634,0.9555,0.2136,1
0.5235,0.8689,0.6444,1
0.7853,0.9385,0.3835,1
0.356,0.8099,0.5815,1
0.1952,0.5643,0.0385,0
0.5523,0.4624,0.0993,1
0.0137,0.7702,0.0068,0
0.8562,0.9924,0.9871,1
0.2,0.8462,0.7577,1
0.5774,0.9505,0.2716,1
0.0294,0.7738,0.7065,0
0.1495,0.3694,0.889,0
0.4373,0.9954,0.3172,1
0.0924,0.736,0.6349,0
0.3182,0.8329,0.7255,1
0.0214,0.524,0.6141,0
0.6028,0.0874,0.2205,0
0.9427,0.6338,0.1724,1
0.6398,0.8973,0.778,1
0.4351,0.3297,0.4637,0
0.5526,0.7,0.065,1
0.3134,0.5473,0.1814,0
0.6953,0.1595,0.6428,0
0.588,0.1038,0.1273,0
0.4118,0.5227,0.8214,0
0.2713,0.517,0.7244,0
0.114,0.0079,0.5721,0
0.8704,0.3054,0.5778,1
0.3625,0.9961,0.9057,1
0.9119,0.5525,0.2419,1
0.4108,0.4313,0.1194,0
0.6473,0.1802,0.7965,0
0.0473,0.1115,0.1823,0
0.9662,0.8406,0.9347,1
0.6367,0.5245,0.1133,1
0.9191,0.4989,0.2607,1
0.8473,0.6384,0.2291,1
0.8048,0.6483,0.5733,1
0.5865,0.0658,0.3236,0
0.0226,0.562,0.7994,0
0.877,0.1556,0.5755,1
0.0417,0.5797,0.7503,0
0.4898,0.7285,0.5529,1
0.4153,0.9559,0.8707,1
0.4428,0.0498,0.533,0
0.8024,0.9481,0.8585,1
0.1447,0.9543,0.5383,1
0.2252,0.1516,0.8218,0
0.7052,0.0936,0.3347,0
0.8732,0.8719,0.754,1
0.8132,0.5352,0.022,1
0.8755,0.1344,0.8402,1
0.933,0.205,0.8035,1
0.2123,0.8349,0.5315,1
0.297,0.4605,0.2874,0
0.6944,0.862,0.3086,1
0.5189,0.7146,0.8675,1
0.6833,0.773,0.7157,1
0.746,0.6176,0.1226,1
0.5032,0.2,0.616,0
0.2664,0.3083,0.8578,0
