x1,x2,x3,label
0.7107,0.8276,0.3191,1
0.0672,0.7551,0.8861,0
0.8766,0.4682,0.8819,1
0.9703,0.114,0.6206,1
0.808,0.9008,0.8598,1
0.9877,0.897,0.4689,1
0.6013,0.1092,0.8183,0
0.0335,0.1884,0.2751,0
0.5229,0.3035,0.1355,0
0.2291,0.4104,0.9306,0
0.3337,0.3637,0.0239,0
0.1218,0.9019,0.3556,1
0.5145,0.0058,0.3822,0
0.9502,0.3663,0.5294,1
0.0966,0.6117,0.3045,0
0.2443,0.3922,0.9843,0
0.8219,0.4034,0.9737,1
0.5313,0.5732,0.134,1
0.993,0.7457,0.1094,1
0.089,0.5887,0.8005,0
0.1829,0.0559,0.5831,0
0.0718,0.9475,0.6961,1
0.2181,0.1639,0.7938,0
0.1982,0.8288,0.163,1
0.5221,0.0164,0.0041,0
0.7815,0.4719,0.1828,1
0.2504,0.2315,0.421,0
0.3958,0.1135,0.4188,0
0.9571,0.2554,0.5772,1
0.0754,0.6358,0.5979,0
0.3706,0.0927,0.9682,0
0.1382,0.6503,0.7358,0
0.7913,0.4049,0.8748,1
0.1297,0.6886,0.597,0
0.0893,0.8931,0.3218,1
0.5538,0.418,0.2919,1
0.6982,0.3072,0.2601,1
0.9959,0.1848,0.0864,1
0.1983,0.1768,0.8016,0
0.0423,0.2009,0.5769,0
0.7196,0.3384,0.5214,1
0.1724,0.4476,0.5919,0
0.2414,0.7756,0.6386,1
0.8724,0.2439,0.2974,1
0.9752,0.3256,0.324,1
0.3802,0.5131,0.219,0
0.0279,0.696,0.0021,0
0.9356,0.0527,0.9935,1
0.8142,0.5007,0.4331,1
0.282,0.2367,0.9383,0
0.2311,0.9922,0.6775,1
0.917,0.7071,0.4131,1
0.2951,0.186,0.7492,0
0.3327,0.1674,0.0171,0
0.3377,0.773,0.9273,1
0.9723,0.2791,0.2195,1
0.7347,0.2626,0.3719,1
0.4799,0.355,0.2753,0
0.3741,0.2056,0.7077,0
0.6281,0.0026,0.0146,0
0.5465,0.8673,0.5655,1
0.7016,0.475,0.8324,1
0.239,0.0859,0.3924,0
0.5022,0.1323,0.4591,0
0.978,0.2638,0.3402,1
0.9893,0.1776,0.3714,1
0.7431,0.1898,0.9074,0
0.738,0.6243,0.9158,1
0.732,0.7751,0.6599,1
0.7308,0.1928,0.6979,0
0.7027,0.5117,0.7324,1
0.3092,0.488,0.5051,0
0.5545,0.0705,0.7773,0
0.6948,0.3525,0.8104,1
0.7126,0.4263,0.8915,1
0.3098,0.1625,0.7276,0
0.717,0.187,0.4113,0
0.1243,0.3868,0.2602,0
0.6528,0.7562,0.2804,1
0.4587,0.8215,0.3583,1
