x1,x2,x3,label
0.2531,0.9688,0.603,1
0.6814,0.7512,0.8848,1
0.9318,0.6609,0.0356,1
0.7669,0.5187,0.1042,1
0.0256,0.2053,0.8929,0
0.6864,0.6168,0.8027,1
0.2866,0.8406,0.7796,1
0.7054,0.1719,0.949,0
0.5845,0.6932,0.4579,1
0.0875,0.984,0.0674,1
0.9283,0.3396,0.589,1
0.2313,0.284,0.0447,0
0.5099,0.2816,0.1913,0
0.7036,0.7651,0.9509,1
0.9345,0.064,0.7191,1
0.358,0.5914,0.5887,0
0.5957,0.7128,0.6332,1
0.9415,0.4176,0.0518,1
0.2603,0.72,0.9249,1
0.3851,0.2625,0.8623,0
0.6665,0.1338,0.9095,0
0.3322,0.3704,0.7475,0
0.1618,0.8823,0.8562,1
0.5631,0.3403,0.0548,0
0.2917,0.4348,0.3421,0
0.5358,0.2113,0.2656,0
0.3875,0.0203,0.1925,0
0.6926,0.9606,0.0097,1
0.867,0.9392,0.4871,1
0.4223,0.3966,0.256,0
0.4619,0.0115,0.385,0
0.0023,0.6223,0.9481,0
0.6588,0.8232,0.3088,1
0.5831,0.153,0.7782,0
0.7865,0.4556,0.7516,1
0.5362,0.2868,0.8478,0
0.9388,0.6837,0.0093,1
0.6606,0.7277,0.7487,1
0.2659,0.1326,0.4325,0
0.4564,0.4688,0.8124,0
0.5369,0.3411,0.471,0
0.4867,0.4874,0.5156,1
0.3466,0.6307,0.167,1
0.0559,0.5936,0.9301,0
0.5574,0.3644,0.1126,0
0.1092,0.4241,0.9089,0
0.4085,0.987,0.2675,1
0.2656,0.3074,0.3613,0
0.6155,0.4236,0.4063,1
0.701,0.4311,0.7379,1
0.4659,0.8585,0.7589,1
0.4356,0.0047,0.2351,0
0.6866,0.1956,0.0031,0
0.7374,0.2302,0.7288,1
0.2103,0.6535,0.7435,0
0.2041,0.1948,0.596,0
0.1668,0.5997,0.4257,0
0.8941,0.2821,0.3845,1
0.6534,0.4981,0.1656,1
0.9157,0.4915,0.8729,1
0.6681,0.2164,0.1993,0
0.0228,0.9889,0.119,1
0.7456,0.3419,0.6118,1
0.6403,0.0729,0.2876,0
0.1523,0.5756,0.1092,0
0.0678,0.6128,0.9415,0
0.6288,0.2914,0.9596,0
0.0085,0.4038,0.8257,0
0.9156,0.3788,0.9463,1
0.7636,0.9982,0.0398,1
0.5932,0.1936,0.0698,0
0.8659,0.6804,0.6331,1
0.9787,0.8531,0.0459,1
0.8998,0.6597,0.141,1
0.4028,0.2435,0.9075,0
0.8148,0.0705,0.4543,0
0.1762,0.7389,0.3276,0
0.9302,0.0753,0.595,1
0.2352,0.9965,0.6828,1
0.3036,0.9437,0.1489,1
