time,value
1,95.88
2,108.86
3,100.71
4,102.79
5,96.92
6,114.13
7,101.95
8,120.01
9,126.79
10,112.38
11,117.61
12,126.13
13,117.49
14,114.07
15,131.72
16,131.45
17,139.72
18,129.54
19,138.24
20,134.45
21,149.71
22,145.33
23,143.29
24,148.46
25,147.62
26,152.23
27,143.92
28,151.48
29,155.0
30,160.93
31,160.1
32,162.99
33,165.24
34,153.5
35,168.94
36,158.97
37,176.61
38,164.54
39,180.74
40,176.47
41,174.43
42,168.37
43,165.41
44,171.85
45,190.57
46,194.16
47,174.88
48,190.75
49,200.48
50,189.88
51,200.07
52,196.7
53,203.65
54,191.66
55,196.36
56,190.39
57,207.87
58,192.69
59,193.88
60,212.56
