x1,x2,x3
58.54,26.56,81.24
49.38,26.78,74.56
41.25,22.53,52.95
46.02,36.4,62.67
49.0,32.5,68.09
33.68,31.12,71.98
54.4,25.78,68.9
57.95,29.96,80.6
70.44,39.45,81.23
53.85,24.41,62.99
41.39,30.6,74.31
44.27,27.38,63.02
41.14,31.53,70.52
55.48,29.65,60.79
43.21,36.68,77.61
55.19,27.47,92.18
65.35,33.93,66.34
55.33,26.39,76.18
65.56,24.0,50.72
46.52,22.73,63.15
42.58,29.29,81.14
54.46,25.94,58.98
52.96,46.91,62.11
43.68,34.25,70.08
46.01,23.57,87.48
50.78,29.42,69.89
41.88,30.25,58.24
44.82,33.26,75.46
42.42,26.53,73.41
55.39,29.95,60.56
61.27,24.97,72.04
57.33,36.04,76.13
54.36,31.84,76.25
44.35,30.46,71.34
44.5,20.44,64.65
54.91,22.14,52.13
66.62,29.63,63.53
60.82,33.77,73.86
40.82,30.57,81.46
53.23,18.69,56.64
59.95,34.26,77.24
51.57,33.1,85.24
65.41,30.94,81.56
48.5,21.86,84.52
51.58,33.49,79.39
48.13,31.06,63.51
50.67,26.24,83.98
61.9,28.78,61.76
46.13,23.47,67.45
53.92,27.72,53.05
38.52,34.39,58.82
57.54,42.38,48.57
55.86,27.93,68.11
55.82,25.13,59.9
53.36,28.8,79.69
45.04,25.23,70.03
41.38,36.86,73.12
46.5,26.6,56.91
53.22,31.61,87.79
35.73,25.32,66.33
60.95,22.21,54.56
28.04,32.59,67.86
60.86,30.88,80.91
40.92,26.97,86.55
38.51,36.33,77.0
61.02,24.98,59.82
39.05,33.8,73.82
40.44,30.31,69.43
39.87,24.02,84.79
56.76,30.54,65.81
55.65,25.82,70.65
55.76,35.21,70.79
60.67,34.46,83.43
43.44,31.95,70.59
37.5,33.76,80.79
57.97,32.24,74.13
39.49,26.18,69.17
56.01,30.01,67.1
45.85,32.24,74.63
48.59,26.39,78.25
55.89,24.78,59.46
46.99,29.87,60.71
46.06,24.05,62.85
47.26,33.91,85.06
58.25,32.29,64.21
44.4,29.18,73.99
47.49,27.8,67.02
51.18,42.35,89.89
51.75,30.61,73.38
53.95,35.27,77.15
34.79,34.88,57.73
53.54,27.93,79.71
50.21,23.82,50.67
57.48,29.99,68.74
32.72,36.14,66.14
51.01,29.67,76.6
67.02,27.08,63.81
58.72,28.79,73.51
42.54,35.76,65.21
57.43,26.4,84.61
54.86,29.33,63.28
41.61,30.79,70.73
52.81,30.96,69.03
51.2,23.35,76.25
58.53,21.7,79.73
50.96,30.52,75.56
52.34,34.92,70.41
58.86,21.48,70.3
55.33,30.96,78.74
61.61,21.15,63.68
54.59,30.72,78.21
67.79,34.85,80.73
55.66,23.9,61.8
50.1,26.14,71.99
64.54,32.68,68.62
43.75,30.93,69.17
62.06,28.66,79.6
50.43,36.59,64.65
57.52,25.34,100.37
61.4,37.27,94.56
