x1,x2,x3
46.21,37.55,60.65
52.7,27.95,60.88
53.57,36.64,57.26
55.67,25.66,87.97
48.26,31.93,60.69
49.23,27.0,66.38
52.21,34.81,60.95
52.23,32.65,61.93
49.24,36.52,50.84
48.27,24.6,75.69
48.85,26.67,90.1
46.04,34.49,108.64
58.1,32.55,87.01
54.22,27.68,70.08
57.81,26.43,71.5
65.85,27.64,63.28
52.16,26.53,63.2
49.31,27.41,81.1
39.48,31.09,57.81
64.4,31.93,58.96
58.37,29.05,42.8
44.9,23.26,65.85
44.34,29.22,69.4
28.08,23.95,61.95
49.49,16.95,81.97
47.94,26.57,77.37
37.98,30.29,65.52
54.44,31.51,68.81
46.8,30.87,69.1
49.86,21.86,61.36
52.86,30.83,75.56
50.74,31.79,57.35
49.86,26.63,68.36
53.51,32.55,74.6
49.81,24.85,62.23
35.6,34.64,63.72
50.6,37.2,83.05
59.21,35.51,72.21
61.12,35.06,71.54
51.55,20.11,70.56
31.52,36.81,64.73
45.39,32.11,70.89
44.66,29.9,70.5
46.63,31.48,85.82
50.91,37.79,64.98
46.91,36.2,58.45
34.76,28.39,62.57
48.74,23.25,67.11
62.22,33.06,68.98
52.75,27.52,77.02
44.45,36.0,66.08
50.23,31.63,85.01
42.06,37.23,80.9
49.32,30.14,63.37
48.95,27.21,82.24
56.33,30.02,64.0
45.61,29.94,55.53
60.11,28.07,66.7
39.64,29.43,72.47
49.68,33.56,51.64
51.8,33.44,71.89
35.19,32.38,70.29
57.37,25.02,68.83
40.17,29.36,78.39
60.06,27.21,55.91
54.21,24.73,78.32
54.19,30.02,63.59
42.87,24.25,84.69
46.96,33.17,79.35
48.96,30.76,67.39
56.48,26.08,69.81
60.27,33.6,80.59
49.12,29.75,64.96
46.57,33.44,63.77
48.05,30.27,77.77
41.57,27.6,65.01
58.03,24.53,54.93
47.09,24.26,89.31
47.55,28.59,91.5
44.71,32.95,68.88
50.9,28.3,62.19
62.23,24.71,77.98
53.77,39.19,60.22
30.78,37.7,78.06
46.38,30.12,80.7
44.8,29.96,65.31
56.79,24.28,69.4
71.61,37.33,66.23
46.99,33.19,72.88
57.88,28.04,60.46
51.35,22.88,83.41
61.98,33.05,65.09
49.88,24.78,61.86
46.58,31.74,64.64
43.19,24.48,62.19
46.85,27.44,64.13
50.77,24.18,55.74
44.06,23.56,67.63
51.99,35.84,68.26
39.35,40.16,56.25
67.27,29.65,70.17
52.51,16.16,69.32
47.17,28.39,83.48
52.92,25.81,79.41
58.3,31.91,79.36
51.49,30.38,65.71
58.93,35.47,78.46
70.46,23.87,63.2
39.32,27.81,71.86
38.43,27.11,82.64
53.34,31.85,62.83
45.22,34.01,65.85
52.13,24.42,85.49
41.41,36.33,86.12
45.74,25.48,55.13
65.07,20.6,85.87
54.68,32.11,69.17
50.57,29.93,66.92
54.95,37.92,82.99
40.68,34.67,64.17
