x1,x2,x3,label
0.5737,0.2469,0.4204,0
0.8781,0.9603,0.4166,1
0.2709,0.1964,0.2831,0
0.6943,0.1738,0.0926,0
0.5894,0.6555,0.574,1
0.8133,0.4423,0.2016,1
0.6357,0.6253,0.3739,1
0.1064,0.5797,0.8215,0
0.7426,0.969,0.7247,1
0.9865,0.5953,0.9353,1
0.1831,0.5237,0.4876,0
0.2959,0.3792,0.0631,0
0.0436,0.9083,0.9124,0
0.3557,0.8545,0.9472,1
0.9004,0.4951,0.2357,1
0.3599,0.0625,0.9061,0
0.8661,0.3958,0.806,1
0.3993,0.3614,0.5118,0
0.7895,0.726,0.0659,1
0.193,0.2194,0.8128,0
0.1592,0.5828,0.1617,0
0.1592,0.2235,0.9353,0
0.1198,0.9812,0.5332,0
0.5225,0.7293,0.7265,1
0.6974,0.8593,0.1936,1
0.5709,0.3926,0.517,0
0.9296,0.777,0.3763,1
0.6804,0.2497,0.7077,0
0.04,0.6088,0.1693,0
0.8109,0.6614,0.1639,1
0.3687,0.4617,0.8194,0
0.0909,0.0195,0.888,0
0.7298,0.9042,0.9023,1
0.7427,0.6268,0.0986,1
0.8006,0.7508,0.7007,1
0.0764,0.9871,0.3678,0
0.7285,0.8293,0.7536,1
0.4346,0.2605,0.2161,0
0.7196,0.1068,0.5409,1
0.0624,0.1187,0.5352,0
0.2291,0.6244,0.9986,0
0.4558,0.6606,0.2997,0
0.8351,0.8786,0.3103,1
0.8295,0.2754,0.3073,1
0.8148,0.5511,0.3901,1
0.3225,0.0566,0.5315,0
0.6246,0.1691,0.6378,0
0.0766,0.7949,0.583,0
0.5808,0.633,0.4381,1
0.7988,0.9323,0.9027,1
0.9963,0.7613,0.8085,1
0.1114,0.3092,0.0042,0
0.9164,0.7843,0.0365,1
0.8392,0.0115,0.3,0
0.3926,0.5294,0.9579,1
0.0493,0.4561,0.2176,0
0.1382,0.8416,0.9336,0
0.531,0.5853,0.4241,1
0.9026,0.0718,0.5578,1
0.9757,0.0447,0.1722,0
0.4424,0.6843,0.7918,1
0.2941,0.9657,0.5178,1
0.4731,0.4624,0.4722,0
0.1582,0.1351,0.8048,0
0.4959,0.2495,0.8875,0
0.025,0.8171,0.9354,0
0.6433,0.0159,0.3986,0
0.2887,0.5484,0.4624,0
0.737,0.639,0.646,1
0.5185,0.255,0.9879,0
0.9758,0.1805,0.6474,1
0.5841,0.598,0.7636,1
0.8702,0.7831,0.5913,1
0.8094,0.3681,0.09,0
0.6691,0.0971,0.6594,0
0.8141,0.0509,0.4621,1
0.9159,0.1673,0.7797,1
0.0759,0.9613,0.333,0
0.8287,0.9,0.3305,1
0.4509,0.6202,0.2186,0
0.8852,0.6137,0.814,1
0.6367,0.7761,0.0628,0
0.5762,0.9533,0.026,1
0.7767,0.7354,0.4234,1
0.7224,0.8311,0.3003,1
0.0373,0.6646,0.9147,0
0.1489,0.3398,0.3012,0
0.3164,0.2448,0.9693,0
0.4216,0.2359,0.3353,0
0.5143,0.1156,0.0678,0
0.6771,0.3333,0.0348,0
0.7634,0.251,0.2918,0
0.4233,0.0314,0.376,0
0.4785,0.5244,0.1847,0
0.5319,0.4845,0.0946,0
0.6494,0.3185,0.4898,1
0.2818,0.3776,0.8068,0
0.8498,0.5856,0.593,1
0.5902,0.3109,0.586,0
0.1474,0.1637,0.0082,0
0.9778,0.7279,0.5088,1
0.2725,0.1296,0.4181,0
0.515,0.3974,0.9288,1
0.4598,0.8609,0.0282,0
0.9494,0.445,0.0203,1
0.6098,0.9205,0.3264,1
0.1618,0.854,0.5314,0
0.3248,0.032,0.0136,0
0.3453,0.0898,0.7953,0
0.4538,0.088,0.1096,0
0.5567,0.862,0.5031,1
0.2638,0.1638,0.9674,0
0.3375,0.8498,0.2203,0
0.4008,0.9378,0.1742,0
0.2149,0.9937,0.5085,0
0.8452,0.4255,0.0878,1
0.608,0.2114,0.9498,0
0.6942,0.1981,0.3704,0
0.6385,0.1022,0.7922,1
0.3299,0.6685,0.9332,1
0.1577,0.1504,0.1093,0
0.0727,0.7275,0.7356,0
0.3647,0.1984,0.5749,0
0.0885,0.231,0.7812,0
0.1141,0.2926,0.2647,0
0.1076,0.5638,0.7685,0
0.0547,0.4993,0.0854,0
0.3061,0.6912,0.0169,0
0.7913,0.2433,0.4933,0
0.3631,0.522,0.8073,0
0.8014,0.5264,0.8129,1
0.5198,0.8336,0.7416,1
0.6005,0.6353,0.0492,1
0.4165,0.6762,0.0174,0
0.0622,0.1301,0.8545,0
0.6788,0.2598,0.3883,0
0.2078,0.3076,0.2419,0
0.0706,0.4047,0.9464,0
0.6017,0.0113,0.9526,1
0.7868,0.0668,0.2297,0
0.9821,0.032,0.6189,1
0.525,0.5728,0.4981,0
0.1355,0.564,0.3526,0
0.9057,0.0975,0.4189,1
0.9183,0.0879,0.2004,0
0.0205,0.9089,0.552,0
0.2075,0.5572,0.319,0
0.4346,0.5335,0.9188,0
0.4814,0.7632,0.4186,1
0.5694,0.7948,0.8359,1
0.2867,0.5059,0.9578,0
0.1948,0.8246,0.998,1
0.5061,0.2948,0.1793,0
0.094,0.5988,0.7556,0
0.1772,0.4933,0.8695,0
0.0744,0.7582,0.121,0
0.1611,0.2711,0.6148,0
0.6377,0.9279,0.8419,1
0.0799,0.1357,0.4288,0
0.5947,0.5169,0.913,1
0.6286,0.9428,0.5979,1
0.6536,0.3505,0.1982,0
0.5698,0.1586,0.6586,0
0.8824,0.3343,0.63,1
0.1222,0.1781,0.6798,0
0.8121,0.2194,0.151,1
0.6175,0.8793,0.8363,1
0.5861,0.9375,0.8723,1
0.6737,0.2408,0.3891,1
0.5366,0.4045,0.0944,0
0.1427,0.0466,0.7725,0
0.7202,0.2503,0.9664,1
0.7289,0.7539,0.4054,1
0.8718,0.0841,0.7031,1
