x1,x2,x3,label
0.9903,0.4516,0.7522,1
0.3424,0.1815,0.7892,0
0.9992,0.3449,0.3809,1
0.5525,0.346,0.8215,0
0.6734,0.993,0.8406,1
0.5082,0.8318,0.0425,1
0.4459,0.1018,0.9813,0
0.9827,0.133,0.1134,1
0.9067,0.8258,0.4796,1
0.2141,0.2693,0.1064,0
0.9441,0.7863,0.7273,1
0.3674,0.2661,0.7867,0
0.7051,0.4419,0.9846,1
0.456,0.6354,0.3094,1
0.4512,0.2905,0.3373,0
0.7923,0.1544,0.869,0
0.1444,0.2632,0.671,0
0.602,0.6144,0.2307,1
0.6337,0.164,0.3919,0
0.1771,0.5086,0.5072,0
0.8789,0.4163,0.3412,1
0.5282,0.2522,0.5682,0
0.8872,0.1918,0.7431,1
0.2027,0.2047,0.77,0
0.9705,0.0543,0.8614,1
0.7893,0.8394,0.8642,1
0.4888,0.2321,0.1715,0
0.8718,0.4062,0.3908,1
0.4876,0.3697,0.2859,0
0.323,0.1264,0.5456,0
0.0403,0.9383,0.3509,1
0.5499,0.4346,0.6647,1
0.3549,0.4145,0.0204,0
0.4867,0.6459,0.2745,1
0.3832,0.1434,0.372,0
0.747,0.6617,0.044,1
0.4824,0.7033,0.6462,1
0.2614,0.1595,0.0734,0
0.0454,0.8975,0.631,0
0.8782,0.7925,0.0157,1
0.9897,0.5333,0.7801,1
0.1293,0.3354,0.2699,0
0.2473,0.4218,0.3255,0
0.5681,0.2855,0.507,0
0.9997,0.9251,0.0926,1
0.4136,0.6066,0.1618,1
0.1089,0.8454,0.6275,1
0.4594,0.7635,0.4565,1
0.4983,0.7192,0.6593,1
0.1244,0.3067,0.017,0
0.7583,0.3726,0.5833,1
0.6882,0.2071,0.1783,0
0.3856,0.5846,0.3826,1
0.0724,0.4956,0.6704,0
0.9085,0.5054,0.7977,1
0.0467,0.7122,0.6857,0
0.9706,0.3286,0.4574,1
0.7474,0.8705,0.5657,1
0.8232,0.6599,0.2129,1
0.5947,0.8786,0.3185,1
0.7066,0.4283,0.9513,1
0.3447,0.4628,0.1937,0
0.3328,0.9119,0.8239,1
0.0628,0.2726,0.7699,0
0.103,0.8655,0.8226,1
0.6922,0.2506,0.351,0
0.5805,0.2065,0.6441,0
0.0552,0.9005,0.5297,1
0.6628,0.4406,0.4693,1
0.2222,0.1668,0.8543,0
0.9984,0.0378,0.6143,1
0.8675,0.6359,0.2091,1
0.3746,0.1765,0.4754,0
0.8034,0.3699,0.1325,1
0.5568,0.4871,0.2068,1
0.5929,0.3528,0.7066,0
0.378,0.7951,0.3922,1
0.0745,0.942,0.4501,1
0.5941,0.9789,0.083,1
0.8408,0.2197,0.1797,1
