time,value
1,97.72
2,109.4
3,116.08
4,109.37
5,106.34
6,104.78
7,116.29
8,122.69
9,124.02
10,127.34
11,120.84
12,121.68
13,135.41
14,125.93
15,141.49
16,133.32
17,116.08
18,136.58
19,142.99
20,150.18
21,137.11
22,143.53
23,139.84
24,147.65
25,155.13
26,143.83
27,143.74
28,155.3
29,151.04
30,154.65
31,163.75
32,162.15
33,173.96
34,150.47
35,161.58
36,158.48
37,167.57
38,173.2
39,177.18
40,173.03
41,160.46
42,170.49
43,177.37
44,169.89
45,182.75
46,166.31
47,191.24
48,177.97
49,185.68
50,197.15
51,202.98
52,185.69
53,202.12
54,197.89
55,185.07
56,198.68
57,192.55
58,203.14
59,206.36
60,213.36
