x1,x2,x3,label
0.7776,0.4326,0.7334,1
0.9836,0.8257,0.3868,1
0.6632,0.8765,0.2878,1
0.945,0.9087,0.4254,1
0.5273,0.9639,0.4589,1
0.3738,0.6464,0.7155,1
0.3215,0.9397,0.048,1
0.1747,0.1349,0.7049,0
0.7385,0.4606,0.8949,1
0.0347,0.4747,0.6876,0
0.4818,0.0897,0.3196,0
0.1257,0.1986,0.7167,0
0.0207,0.6915,0.4569,0
0.9699,0.0745,0.0605,1
0.0762,0.9892,0.2599,1
0.2839,0.4076,0.701,0
0.9236,0.1991,0.1037,1
0.1096,0.2033,0.736,0
0.8268,0.2342,0.6428,1
0.9619,0.996,0.2326,1
0.9173,0.1794,0.0162,1
0.99,0.2201,0.7118,1
0.3923,0.0749,0.7161,0
0.8382,0.2384,0.3045,1
0.4112,0.1206,0.9686,0
0.2325,0.3663,0.4131,0
0.6204,0.722,0.3975,1
0.0346,0.4354,0.7322,0
0.7532,0.5921,0.4096,1
0.3546,0.7257,0.1465,1
0.9046,0.9576,0.5275,1
0.3655,0.254,0.308,0
0.1207,0.5051,0.6107,0
0.2462,0.8138,0.7116,1
0.3679,0.3691,0.3132,0
0.9426,0.9579,0.1375,1
0.3491,0.7245,0.1176,1
0.9802,0.534,0.8383,1
0.2878,0.4324,0.1579,0
0.9351,0.1579,0.6476,1
0.1645,0.6548,0.7702,0
0.2517,0.2723,0.8437,0
0.5517,0.6942,0.5283,1
0.7671,0.9446,0.2519,1
0.9793,0.3353,0.2395,1
0.0958,0.134,0.401,0
0.5957,0.199,0.641,0
0.3079,0.3138,0.8641,0
0.5626,0.3439,0.3849,0
0.1485,0.9103,0.3853,1
0.1784,0.361,0.7852,0
0.6213,0.6341,0.9634,1
0.8063,0.5188,0.9881,1
0.4649,0.9334,0.6876,1
0.4136,0.336,0.4845,0
0.1814,0.462,0.1456,0
0.0575,0.4097,0.4182,0
0.8894,0.0009,0.8598,0
0.8734,0.1768,0.2034,1
0.5314,0.0655,0.6311,0
0.0441,0.8563,0.3967,0
0.3165,0.368,0.8849,0
0.0199,0.9991,0.0032,1
0.1001,0.8278,0.5826,0
0.5983,0.6311,0.9197,1
0.9275,0.1137,0.1157,1
0.2283,0.8961,0.3851,1
0.3538,0.3568,0.5354,0
0.112,0.5623,0.5288,0
0.4195,0.8118,0.5599,1
0.0021,0.447,0.6199,0
0.9231,0.6693,0.0836,1
0.6323,0.665,0.2553,1
0.8729,0.0111,0.5585,0
0.8718,0.6719,0.9349,1
0.1539,0.8507,0.3808,1
0.85,0.2313,0.9536,1
0.698,0.9445,0.7683,1
0.9571,0.6128,0.4018,1
0.1929,0.2213,0.0966,0
