time,value
1,93.22
2,113.39
3,124.02
4,112.86
5,81.19
6,127.75
7,119.65
8,118.54
9,120.53
10,124.02
11,127.66
12,119.53
13,109.52
14,137.38
15,124.24
16,116.1
17,131.55
18,112.76
19,149.58
20,147.99
21,136.65
22,122.99
23,136.65
24,146.97
25,150.85
26,152.01
27,156.25
28,170.78
29,153.22
30,150.82
31,148.17
32,166.7
33,170.72
34,143.97
35,159.56
36,155.78
37,165.15
38,169.37
39,161.54
40,173.44
41,186.13
42,179.44
43,168.24
44,170.11
45,180.67
46,186.58
47,186.01
48,189.29
49,202.69
50,181.61
51,192.34
52,187.38
53,202.29
54,184.77
55,205.98
56,193.21
57,205.9
58,195.8
59,203.01
60,211.0
