x1,x2,x3,label
0.6092,0.6251,0.9538,1
0.3216,0.0199,0.8528,0
0.5122,0.215,0.9786,0
0.7225,0.6302,0.9811,1
0.2824,0.0189,0.7454,0
0.0942,0.8109,0.4301,0
0.5375,0.9636,0.6144,1
0.5136,0.1114,0.7774,0
0.4561,0.9946,0.1663,1
0.4212,0.4002,0.7911,0
0.2846,0.4141,0.3062,0
0.9622,0.625,0.988,1
0.4337,0.5245,0.3967,1
0.2874,0.4451,0.1032,0
0.74,0.9311,0.1335,1
0.4505,0.5366,0.1553,1
0.2088,0.1481,0.7595,0
0.3751,0.1649,0.1027,0
0.2227,0.6885,0.3823,0
0.5709,0.3859,0.5617,1
0.9548,0.9613,0.5771,1
0.6682,0.4198,0.1384,1
0.7396,0.1661,0.5885,0
0.4104,0.1106,0.9409,0
0.8264,0.6004,0.2974,1
0.7262,0.7633,0.5028,1
0.1897,0.3408,0.1435,0
0.1565,0.8443,0.2519,1
0.7071,0.4344,0.7296,1
0.0725,0.0461,0.4821,0
0.7403,0.0069,0.206,0
0.1628,0.5629,0.8205,0
0.8637,0.1599,0.9509,1
0.2541,0.9365,0.8068,1
0.0259,0.6389,0.5597,0
0.0476,0.9298,0.8368,1
0.1733,0.3629,0.6971,0
0.9442,0.9818,0.4711,1
0.217,0.9745,0.6639,1
0.9724,0.0041,0.6701,1
0.2303,0.9243,0.3786,1
0.4797,0.0917,0.7451,0
0.773,0.736,0.1952,1
0.6415,0.8745,0.0485,1
0.1597,0.2777,0.6721,0
0.9553,0.5126,0.813,1
0.8423,0.4848,0.8337,1
0.576,0.7229,0.33,1
0.7112,0.9886,0.6642,1
0.0555,0.767,0.6224,0
0.7317,0.8819,0.0106,1
0.2555,0.9321,0.7232,1
0.6973,0.5129,0.2512,1
0.2373,0.3651,0.6161,0
0.5652,0.4936,0.2777,1
0.8922,0.231,0.4502,1
0.8802,0.0996,0.8598,1
0.2408,0.5959,0.4349,0
0.8406,0.2138,0.4462,1
0.6301,0.313,0.5425,0
0.9569,0.2856,0.7564,1
0.2841,0.4667,0.2256,0
0.166,0.9352,0.2859,1
0.1123,0.1133,0.0412,0
0.6638,0.9273,0.3711,1
0.0601,0.1252,0.9025,0
0.6381,0.7068,0.3509,1
0.1969,0.3002,0.6838,0
0.8413,0.1025,0.1117,0
0.1622,0.4585,0.4344,0
0.0168,0.1813,0.142,0
0.7255,0.5091,0.2633,1
0.4076,0.006,0.0444,0
0.0524,0.5667,0.04,0
0.4052,0.0784,0.1009,0
0.0848,0.1875,0.1782,0
0.3635,0.0848,0.4602,0
0.694,0.0212,0.6714,0
0.3311,0.9081,0.2253,1
0.5948,0.6405,0.7719,1
