x1,x2,x3,label
0.1824,0.212,0.1366,0
0.2898,0.0321,0.7419,0
0.6645,0.6684,0.3169,1
0.2868,0.0297,0.5712,0
0.3908,0.6862,0.6841,1
0.2569,0.7811,0.8573,1
0.9716,0.7831,0.2512,1
0.9266,0.2364,0.582,1
0.5121,0.9163,0.9094,1
0.1355,0.1569,0.6438,0
0.4262,0.1684,0.5146,0
0.5777,0.7167,0.9396,1
0.2446,0.6373,0.4312,0
0.9522,0.4818,0.8755,1
0.3296,0.2202,0.7537,0
0.1223,0.3838,0.3959,0
0.5176,0.4889,0.052,0
0.3763,0.3634,0.8986,0
0.8592,0.4061,0.6494,1
0.4135,0.8164,0.7383,1
0.0141,0.2051,0.8326,0
0.3668,0.4443,0.8302,0
0.9162,0.8958,0.4631,1
0.3813,0.675,0.6891,0
0.2236,0.4265,0.6113,0
0.281,0.3275,0.5024,0
0.7094,0.3714,0.32,1
0.1905,0.6832,0.2872,0
0.0512,0.4958,0.1373,0
0.7005,0.6572,0.3675,1
0.7782,0.7105,0.0025,1
0.4761,0.5546,0.3852,0
0.2133,0.0791,0.4551,0
0.7323,0.5128,0.931,1
0.4799,0.4716,0.9149,0
0.9477,0.9688,0.1819,1
0.482,0.6062,0.0459,0
0.2637,0.1309,0.7533,0
0.4248,0.5,0.3668,0
0.0282,0.947,0.8177,0
0.9257,0.7154,0.8225,1
0.9444,0.2785,0.3655,1
0.721,0.6507,0.3142,1
0.0832,0.0353,0.4765,0
0.3892,0.8674,0.8057,1
0.8578,0.8529,0.1363,1
0.3557,0.86,0.1297,0
0.1292,0.3941,0.6244,0
0.8368,0.7457,0.2562,1
0.5452,0.3262,0.7271,1
0.609,0.4422,0.4608,0
0.4458,0.8136,0.2733,1
0.2272,0.1981,0.3074,0
0.8229,0.4966,0.4437,1
0.0175,0.067,0.0678,0
0.3678,0.9179,0.3644,1
0.9951,0.0817,0.1169,1
0.2142,0.8901,0.9244,1
0.9518,0.2658,0.813,1
0.9125,0.8511,0.6861,1
0.0791,0.9748,0.1846,0
0.5587,0.1723,0.4156,0
0.341,0.635,0.3016,0
0.4492,0.5633,0.0611,0
0.1181,0.2086,0.7851,0
0.3568,0.4612,0.1737,0
0.776,0.7742,0.816,1
0.3851,0.7319,0.9424,1
0.6232,0.0303,0.9253,0
0.2395,0.7767,0.1741,0
0.2737,0.0992,0.5215,0
0.7624,0.5842,0.0327,1
0.0114,0.9764,0.837,0
0.9722,0.0172,0.5895,1
0.9339,0.5709,0.7087,1
0.6969,0.2696,0.6175,1
0.464,0.9737,0.1193,1
0.7716,0.8387,0.9864,1
0.0468,0.2475,0.7098,0
0.2968,0.1685,0.5195,0
0.3047,0.0409,0.5668,0
0.7779,0.6504,0.6488,1
0.4084,0.2156,0.7454,0
0.5571,0.9592,0.1288,1
0.0847,0.4654,0.8407,0
0.7037,0.7468,0.2388,1
0.0919,0.6571,0.3677,0
0.2232,0.4143,0.5386,0
0.4438,0.8958,0.7165,1
0.1092,0.1363,0.6969,0
0.4245,0.7759,0.6579,1
0.5518,0.3321,0.6342,1
0.1676,0.5372,0.8907,0
0.6241,0.4614,0.3493,1
0.1868,0.9346,0.6704,0
0.4714,0.2899,0.7275,0
0.4936,0.3275,0.6359,0
0.897,0.4118,0.7722,1
0.4535,0.0959,0.4574,0
0.4225,0.4353,0.8059,0
0.4553,0.3653,0.4933,0
0.8065,0.394,0.0504,0
0.3271,0.9607,0.9472,1
0.7856,0.6551,0.5371,1
0.6558,0.032,0.6497,0
