x1,x2,x3
57.79,25.54,83.01
42.83,30.76,75.54
52.79,28.13,70.7
62.27,21.58,73.05
44.92,26.68,57.55
41.82,30.42,77.82
37.24,32.91,74.18
55.97,25.27,71.1
47.84,33.63,75.42
47.97,27.86,71.88
44.98,25.98,66.4
45.03,33.65,62.21
57.01,31.34,59.37
39.95,25.13,78.69
56.76,24.97,66.67
57.33,31.19,65.01
54.06,38.47,67.44
48.0,29.65,75.3
56.46,27.49,66.06
59.09,33.14,70.73
41.93,24.13,77.94
46.05,29.23,66.37
45.0,30.62,59.07
57.63,26.89,64.85
62.37,26.59,67.36
44.17,27.28,74.35
55.73,41.78,47.31
60.55,28.63,74.84
55.92,33.88,60.63
55.89,29.53,66.96
44.37,29.69,76.94
48.01,14.85,56.03
44.93,35.09,71.15
54.21,28.18,56.55
60.42,31.8,72.43
64.89,32.87,64.37
40.03,36.63,74.6
54.71,32.34,79.54
52.74,28.51,70.14
56.4,27.69,86.2
51.24,27.9,57.09
44.6,33.37,51.54
47.96,26.33,77.87
64.78,29.01,73.74
49.03,35.54,88.61
55.78,25.62,59.8
45.69,31.28,63.35
62.51,30.55,58.23
45.72,36.2,82.14
49.74,38.52,76.69
61.15,27.28,63.1
59.34,22.95,68.55
55.87,32.39,66.22
61.79,30.8,76.2
51.25,12.45,81.1
39.24,26.97,74.65
51.92,29.42,84.52
52.04,31.23,58.96
43.41,30.72,67.23
36.31,35.56,46.16
51.6,24.73,48.39
57.5,23.76,64.99
53.22,29.95,69.3
58.04,26.51,73.91
48.52,39.83,71.01
48.05,33.49,73.67
39.2,34.04,57.41
43.61,24.99,75.15
50.34,23.29,68.92
65.39,42.2,61.61
51.69,25.93,78.21
57.36,42.87,64.62
40.3,26.69,69.64
50.72,29.17,76.76
36.48,29.28,77.32
57.91,38.98,65.6
53.98,31.43,63.51
45.36,37.76,56.32
38.9,27.38,79.65
64.37,33.76,81.07
41.3,33.89,71.74
55.76,34.78,68.84
42.73,40.57,72.76
48.68,30.28,85.65
39.94,33.13,54.7
51.19,28.35,54.67
43.21,32.22,64.53
50.8,34.77,65.4
32.3,31.26,81.38
49.31,25.13,58.88
48.03,45.46,79.76
65.94,36.64,83.89
54.24,31.57,58.91
49.15,31.31,69.86
48.81,19.42,61.02
43.47,33.98,70.59
53.59,40.43,70.81
47.85,31.91,63.53
48.96,26.3,71.75
54.62,37.09,56.05
48.02,23.65,58.79
47.04,31.65,77.4
48.36,23.52,65.01
52.84,28.88,70.29
61.64,36.86,78.66
50.52,27.77,63.41
53.57,28.52,62.6
46.5,28.87,69.28
47.7,32.66,63.77
38.54,32.45,64.58
54.31,21.18,83.52
56.64,28.52,53.83
59.74,21.85,74.1
56.32,28.14,82.37
49.82,25.34,62.75
51.79,22.92,60.5
47.54,27.75,86.45
46.35,17.62,73.21
51.44,40.73,55.19
45.29,34.64,76.4
