x1,x2,x3,label
0.6493,0.0172,0.0355,0
0.4611,0.1449,0.1844,0
0.7335,0.0968,0.3638,0
0.6642,0.1662,0.4211,0
0.0097,0.6954,0.7851,0
0.1594,0.523,0.4595,0
0.1248,0.6465,0.8972,0
0.485,0.4839,0.3234,1
0.4447,0.0182,0.4475,0
0.9113,0.4233,0.9773,1
0.2553,0.6416,0.2528,0
0.6419,0.7624,0.1818,1
0.0539,0.8996,0.8857,1
0.9251,0.0425,0.3984,1
0.2149,0.7185,0.9543,0
0.7807,0.4886,0.5303,1
0.4838,0.9744,0.6138,1
0.439,0.3757,0.3843,0
0.8898,0.7127,0.5697,1
0.4194,0.1625,0.6038,0
0.2704,0.3337,0.589,0
0.2819,0.3247,0.5677,0
0.7957,0.2075,0.4411,1
0.8411,0.5702,0.9848,1
0.0846,0.5753,0.728,0
0.6308,0.9277,0.904,1
0.009,0.2889,0.1293,0
0.6045,0.7533,0.464,1
0.9738,0.575,0.6318,1
0.8212,0.8804,0.7979,1
0.2361,0.6642,0.5012,0
0.4639,0.481,0.8739,0
0.4677,0.1353,0.9863,0
0.6475,0.5226,0.4114,1
0.4073,0.8627,0.8036,1
0.6584,0.6529,0.526,1
0.0519,0.1513,0.896,0
0.5892,0.3367,0.3148,0
0.2895,0.08,0.1519,0
0.3319,0.808,0.7249,1
0.1876,0.396,0.6143,0
0.0051,0.2053,0.6429,0
0.8567,0.9943,0.2742,1
0.9915,0.9791,0.5181,1
0.1986,0.878,0.1172,1
0.9189,0.9287,0.4047,1
0.3344,0.0599,0.5079,0
0.3809,0.0118,0.7178,0
0.8896,0.9918,0.7677,1
0.3593,0.246,0.4692,0
0.2317,0.6944,0.5125,0
0.675,0.9935,0.1464,1
0.685,0.1678,0.2405,0
0.7453,0.8255,0.6987,1
0.3924,0.8836,0.0628,1
0.9067,0.117,0.2407,1
0.1524,0.0645,0.2803,0
0.6674,0.2084,0.9251,0
0.8165,0.1307,0.5577,0
0.9702,0.2453,0.8102,1
0.1213,0.0839,0.4225,0
0.9406,0.8134,0.4266,1
0.8661,0.4932,0.2011,1
0.2381,0.7018,0.9355,0
0.1289,0.8347,0.0468,1
0.0531,0.5637,0.4045,0
0.691,0.3104,0.4457,1
0.0486,0.913,0.6262,1
0.4829,0.882,0.2126,1
0.1444,0.9177,0.4344,1
0.5836,0.3025,0.5666,0
0.9459,0.9321,0.743,1
0.7804,0.4565,0.2895,1
0.525,0.5589,0.7579,1
0.861,0.1573,0.2425,1
0.2651,0.5602,0.2328,0
0.6136,0.8983,0.5726,1
0.3321,0.4152,0.9121,0
0.1903,0.4241,0.666,0
0.7782,0.411,0.7202,1
