x1,x2,x3,label
0.5634,0.8878,0.6729,1
0.5599,0.3813,0.8925,0
0.6595,0.9399,0.4102,1
0.2849,0.4519,0.9645,0
0.7373,0.6542,0.2242,1
0.0537,0.0035,0.5142,0
0.2168,0.681,0.9187,0
0.9146,0.3887,0.5985,1
0.2289,0.8867,0.1729,1
0.3979,0.129,0.3773,0
0.0655,0.7432,0.9204,0
0.9311,0.4784,0.6435,1
0.0378,0.0202,0.5363,0
0.4476,0.5417,0.3991,1
0.8871,0.5662,0.5253,1
0.3737,0.085,0.7641,0
0.5693,0.88,0.4608,1
0.1204,0.8179,0.0743,0
0.8456,0.0454,0.215,0
0.0592,0.6427,0.3665,0
0.2221,0.0346,0.213,0
0.2164,0.149,0.081,0
0.977,0.4312,0.7868,1
0.2453,0.7463,0.7837,1
0.3867,0.3198,0.2577,0
0.2318,0.7728,0.8358,1
0.8748,0.5223,0.0736,1
0.082,0.1883,0.835,0
0.2515,0.0993,0.8832,0
0.5595,0.2543,0.3808,0
0.8966,0.3427,0.5592,1
0.2906,0.9539,0.0374,1
0.9299,0.9048,0.2783,1
0.2058,0.4543,0.9561,0
0.6638,0.4182,0.0519,1
0.0413,0.0858,0.1863,0
0.1337,0.18,0.1714,0
0.752,0.8487,0.4189,1
0.9542,0.4229,0.3067,1
0.3087,0.0856,0.7695,0
0.8591,0.5004,0.6254,1
0.1542,0.4695,0.1333,0
0.2968,0.919,0.9521,1
0.6304,0.683,0.1661,1
0.4219,0.0786,0.5521,0
0.271,0.3771,0.582,0
0.1088,0.3825,0.7551,0
0.7627,0.7184,0.0075,1
0.8161,0.1465,0.7428,1
0.3998,0.2786,0.8069,0
0.1699,0.4712,0.8702,0
0.1199,0.8955,0.2193,1
0.9249,0.1576,0.6931,1
0.5594,0.8,0.597,1
0.7002,0.1199,0.6885,0
0.0067,0.906,0.2429,0
0.936,0.9322,0.927,1
0.6441,0.7818,0.8368,1
0.0994,0.0024,0.8382,0
0.8041,0.9216,0.8229,1
0.4668,0.9751,0.5383,1
0.9743,0.5474,0.3409,1
0.2627,0.2792,0.1366,0
0.6145,0.1388,0.8511,0
0.3446,0.8102,0.6126,1
0.523,0.0093,0.2062,0
0.4449,0.6771,0.8398,1
0.0811,0.2907,0.5768,0
0.7133,0.4106,0.0688,1
0.6024,0.9999,0.4211,1
0.5557,0.3294,0.0849,0
0.2565,0.9941,0.2374,1
0.8444,0.2666,0.4843,1
0.4441,0.4741,0.0363,0
0.2682,0.1101,0.9879,0
0.3021,0.5275,0.6025,0
0.7635,0.5091,0.0078,1
0.4066,0.6327,0.9688,1
0.8335,0.7192,0.936,1
0.1072,0.0636,0.688,0
